계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
푸엣10,,2025.04.05,1번째 방문,영수증,츠직츠직,4,True
좋은풍경19,120,2025.04.04,1번째 방문,영수증,정말 맛있네요 수제 버거의 정석인 거 같습니다. 강력 추천합니다!!,37,True
SerellaJ,1160,2025.04.01,1번째 방문,영수증,쥬씨한 육즙이 가득! 빵도 부들부들 언제나 굿!,26,True
ABC 123,81,2025.03.28,1번째 방문,영수증,맛있었고 특히 육즙이 일품이었어요😄,19,True
sla****,30,2025.03.21,1번째 방문,영수증,음식은 손님이 좀몰릴때 가서 한 10분 정도 기다린거 같아요! 기다린만큼 바로 먹으니 따뜻하게 먹어서 맛있었어요!! 패티랑 빵이 기름기가 좀 많아서 첨 먹눈 사람들에게 느끼할 수 있지만 좀 먹다 보면 어느 순간 또 벅벅을 찾고 있답니다 ㅎㅎ 저는 지금 6번째쯤 먹고있네요! 추가로 저는 햄버거에 야채가 있는게 좋아서 로메인을 시켰는데 로메인에는 피클이 없어서 서비스 테이블에 자유롭게 이용 가능해서 피클 4개정도만 살짝 올리고 드셔보세요 너무 맛있답니다 ;),256,True
zhz****,553,2025.03.16,1번째 방문,영수증,,0,True
연극죽여주는이야기,1362,2025.03.15,3번째 방문,영수증,부드러운 소고기 패티 먹고 싶다면~! 육즙이 흐르는 버거 먹고 싶다면~! 보들보들 빵을 구워서 주는거 먹고 싶다면~! 케찹 머스타드 핫소스 팍팍 쳐서 먹고 싶다면~! 오늘은 살이 찌던 말던 처먹처먹 하고 싶다면 ~! 당연 1등 벅벅~! 1위 코믹연극 죽여주는이야기 추천 맛집~*,155,True
DA5UT,713,2025.03.08,1번째 방문,예약,맛있어요,4,True
sujeen,1150,2025.03.08,2번째 방문,영수증,맛나요😍 감튀도 바로 먹으니 넘 맛남😍,21,True
z1howq8,94,2025.03.07,1번째 방문,영수증,평일 점심시간에도 사람이 많아서 매장 도착하니까 자리가 없어요. 그래도 한 10-15분 정도 대기해서 먹었습니다. 여기 버거 진짜 미쳤어요(positive) 패티 육즙이 장난 아니에요. 개인적으로 감자튀김은 두껍고 포슬포슬한 걸 좋아하는데 여기 감자튀김도 너무 맛있게 잘 먹었어요.,157,True
hpcr,53,2025.03.06,2번째 방문,영수증,집에서 30분 정도 걸리는 거리인데도 먹으러 왔어요.. 왜냐면 전에 먹었을 때 기억이 너무 좋았고.. 오늘 힐링 하고 싶은 날이라서요.. 먹고 힐링 했어요 벅벅 덕분에 감튀와 마요네즈의 환상 궁합도 알게 됐어요. 물이 서비스라 감사해요 와이파이도 되고 테이블도 넓직해서 밥 먹기 참 좋은 곳잉ㅂ니다,166,True
배치로,,2025.03.06,1번째 방문,영수증,맛있고 특색있어요,9,True
엔돌핀31,121,2025.03.02,1번째 방문,영수증,간만에 와도 늘 맛있네요,13,True
jun****,347,2025.02.27,1번째 방문,영수증,싱글에 베이컨두개추가 강추,14,True
rlawldnwldn,1894,2025.02.25,1번째 방문,영수증,,0,True
2이나,178,2025.02.22,1번째 방문,영수증,진짜진짜찐짜진짜짅ㅁ짜진짜맛있어요제발가두번가세번가,26,True
윳따,30,2025.02.21,1번째 방문,예약,겁나 기름지고 고소한 맛 여튼 맛 없을 수 없는 맛 ㅋㅋㅋ,32,True
연극죽여주는이야기,1362,2025.02.18,2번째 방문,영수증,오늘은 버거가 땡겨서 고기 패티가 입에서 녹는 부드러운 버거를 먹고 싶어서 벅벅으로 고고싱~ 좁은 공간에서 먹기도 싫고 해서 항상 포장했는데 오늘 가보니 장소가 바꼈다고 글구가 붙어 있어서 안내도 위치로 가보니~ 이렇게 넓은 공간으로 새로 오픈해서 놀랐네요 다음엔 여기서 먹어야 겠네요^^ 1위 코믹연극 죽여주는이야기 추천 맛집~*,185,True
피넛브리틀,646,2025.02.18,1번째 방문,영수증,맛있어요!!!,7,True
레어43,438,2025.02.12,1번째 방문,영수증,소고기의 풍미가 장난 아니고 기름기 육즙이 미친 곳입니다. 그렇다고 또 엄청 느끼하진 않는데 이건 솔직히 사바사일듯합니다 고기의 굽기나 베이컨의 익힘정도도 좋았고 번도 잘 일그러지는 수제버거집의 최적화된 번이었습니다 기름기 좔좔 흐르는 버거 좋아하시면 여기가 최고인듯합니다,152,True
geessen,528,2025.02.07,1번째 방문,영수증,"맛있는 벅벅버거 감튀가 뚜툼해서 좋아요 벅벅 6,700원 더블벅 8,700원 로또벅 7,200원 핫윙2조각 3,500원",66,True
외않되26,3,2025.02.07,1번째 방문,예약,대구에서 벅벅 먹을라고 서울까지 왔습니다 하루에 두개 먹었어요 제발 대구에도 만들어주세요,49,True
자칭 백종원,38,2025.02.03,1번째 방문,영수증,진짜 햄버거도 패티도 너무 두껍고 맛이 찐해요 진짜 햄버거 중에 햄버거입니다. 웬만한 햄버거집이랑 비교가 안돼요. 근데 야채나 토마토 들어가서 조화를 좋아하시는 분들은 조금 불호일 수도 있겠다는 생각을 했지만 그걸 상쇄할 정도로 너무 맛있어요 진짜 말이 안되는 맛입니다….햄버거 1등집입니다 진짜 합격이십니다!!,174,True
ehdcns19,19,2025.01.31,2번째 방문,영수증,23년도에 서울 처음 올라오고 방문했다가 25년이 되어 다시 방문했네요. 살아남았다는 것은 강하다는 말이 있는데 벅벅은 오히려 확장 오픈함으로써 매우 강력함을 보여주네요. 사장님께서 마음으로 장사하시니 역시 잘 되었다라고 생각합니다👍 확장 오픈을 하면서 예전같이 벅벅 그림들이 붙혀져있고 아기자기하고 사장님이 가게에 있으며 사람 냄새 물씬 나는 그런 가게의 느낌은 없어졌지만 훨씬 쾌적하고 널널하게 식사할 수 있습니다. 뭐든 장단점이 있는 거죠 뭐 ㅎㅎ 여전히 맛있었습니다! 육즙도 팡팡 샘솟구요 😊 예전 벅벅의 좋은 추억과 함께 새로 오픈한 지점에서도 잘 먹고 갑니다! 번창하세요~🤤❤️,329,True
1219건망증,148,2025.01.30,1번째 방문,예약,과한 기대치 없이 먹는 동네 맛있는 수제 버거.,26,True
jinxianzhi,1264,2025.01.24,7번째 방문,영수증,맛나용,3,True
해삐랄라,59,2025.01.17,1번째 방문,영수증,아들이 장사의신 원픽 리스트라고해서 찾아갔는데 후회없는 선택이었습니다. 아침 먹은지 얼마안되서 맛만본다고 한조각 먹어봤는데 맛있었어요 ..쌕쌕/ 버거왕/등등 보다 가성비뿐아니라 더블버거 육즙 촉촉한 빵 식감 굵직한 감튀도 겉바 속촉 셀프 피클 소스도 다 찐하고 맛있었어요. 버거에 진심 내실있는 버거집같아요.. 맛있어요!! 잘먹었어요!!.,189,True
민디s,655,2025.01.14,1번째 방문,영수증,더블패치!!!! 좋아요! 맛있네요!!! 메뉴도 4개로 간촐~ 선택은 기본/더블패티/기본+해시브라운/기본+토마토양상추 야채 더블벅이 육즙가득이라 그래서 이걸로 시키기!!,93,True
dldkwls,85,2025.01.13,1번째 방문,영수증,벅벅 신당점도 다녀왔는데 혜화점도 맛있습니다. 굶주렸던 한끼 든든하게 잘 먹었습니다!,47,True
전국 내가 가는 진짜 맛집,222,2025.01.13,1번째 방문,영수증,벅벅 햄버거 너무 맛있어요! 느끼하지 않고 담백해요! 번도 퍽퍽하지 않고 부드러워서 순삭입니다!,53,True
min****,197,2025.01.05,1번째 방문,예약,새로 이전오픈한 매장에 방문해서 식사를 하였습니다. 저녁시간대 방문했고 한겨울이라 그런지 손님들이 많지는 않았습니다. 이전한곳이 훨씬 쾌적하고 넓고 좋아요 전엔 사다리타고 올라가서 식사해야했는데 너무 좋습니다. 맛은 더 맛있어진것같아요 완성형 햄버거가 된 느낌,145,True
DUBUYoung,812,2025.01.01,6번째 방문,영수증,역시 짱짱 이젠더 쾌적 하게,15,True
