계정 ID,계정의 리뷰 수,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
🎀,20,2025-06-01,5.0,True,192,최근 먹은 수제버거중 제일맛있었습니다!친절하시고 청결하고 신경많이 쓰는것같아보였습니다!!하지만 오픈런했을때 줄서는 곳을 정확히 명시되어있지않아서 저희 커플이 제일먼저도착했지만 우물쭈물하다가 3번째로 들어가게 되었습니다!! 유명하고 줄서는 가게인만큼 이런상황이 되지않게 사람을 배치하던 정확히 명시되어있는표시가 있었으면 좋았을것같아요 ㅎㅎㅎㅎㅎㅎ,실버 레벨
최진우 맛집 빅데이터,267,2025-06-01,5.0,True,28,더블벅 세트(더블벅 + 오리지날프라이 + 제로펩시),골드 레벨
비바벡,242,2025-05-29,4.0,True,28,버거만 시켜서 먹기 좋다. 가성비도 괜찮고 맛있다.,실버 레벨
웨이팅이 싫어,98,2025-05-20,3.0,True,100,"시그니처는 아닌듯한 로또버거 먹었고 딱 평타인 느낌. 입짧은 편인데, 클래식한 느낌이라 질리지 않고 끝까지 먹을 수 있었다. 웨이팅 있음 안먹고 한산하다면 또 들어가 먹을 듯한 맛",골드 레벨
리뷰 막아둔 매장은 거르세요,101,2025-05-19,5.0,False,73,버거가 아무리 특별해봤자 버거겠지 라고 생각했던 내가 매우 틀렸음 육즙 대박이고 존맛.. 살면서 먹었던 수제버거중에 ㄹㅇ제일 맛있음,실버 레벨
평점깎는노인,268,2025-05-03,5.0,False,6,걍 개맛있음,골드 레벨
jang myung geun,250,2025-04-12,3.0,False,23,생각보다 그렇게 막 맛있다고는 모르겠음..,골드 레벨
맛있을지도,188,2025-04-05,5.0,True,36,가게 이전하셨지만 맛은 그대로 더블벅에 베이컨 추가는 국룰입니다.,골드 레벨
깡깡투어,201,2025-04-03,3.0,False,40,기름 많아여. 맛은.. 유명브랜드나 로컬버거맛집에 비해 특별한건 없었어요,골드 레벨
.,98,2025-03-24,5.0,False,88,주기적으로 먹어줘야하는곳 매장 옮겨서 더 넓고 좋아요 바로 옆 공영주차장 있어서 너무 편하고요 근데 음료는 선입선출이 안되는건지 냉장고가 이상한건지 안시원해요,실버 레벨
민물메기,25,2025-02-24,5.0,False,139,우리나라에서 제일 맛있게 먹은 수제버거집 파이브가이즈보다 나음 더블패티버거 먹었는데 과하게 기름지고 과하게 맛있었다. 감자튀김도 맛있다. 버거킹같은 두꺼운 감튀인데 포슬포슬하고 맛나다. 혹시 햄버거에 양상추나 토마토가 꼭 있어야 되는사람이면 가지말자,실버 레벨
🎀,20,2025-06-01,5.0,True,107,최근 먹은 수제버거중 제일맛있었습니다!친절하시고 청결하고 신경많이 쓰는것같아보였습니다!!하지만 오픈런했을때 줄서는 곳을 정확히 명시되어있지않아서 저희 커플이 제일먼저도착했지만 우물쭈물하다...,실버 레벨
.,98,2025-03-24,5.0,False,63,주기적으로 먹어줘야하는곳 매장 옮겨서 더 넓고 좋아요 바로 옆 공영주차장 있어서 너무 편하고요 근데 음료는 ...,실버 레벨
민물메기,25,2025-02-24,5.0,False,66,우리나라에서 제일 맛있게 먹은 수제버거집 파이브가이즈보다 나음 더블패티버거 먹었는데 과하게 기름지고 과하게 맛있었...,실버 레벨
