platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,가격_matched_keywords
naver,을밀대 평양냉면,하겐다즈매니아,784.0,2025.08.14,5번째 방문,영수증,집 근처이기도 하지만 저는 을밀대가 제일 좋아요 면발과 육수가 둘다 훌륭 ㅠㅠㅜㅜ 오픈런 15분 전에 도착했는데도 이미 사람들 많더라구요 그래도 첫타임에 안정적으로 들어가긴 했어요 오픈시간 맞춰오시면 첫타임에 못 들어갈 수도 있을 것 같아요 동네살아서 산책하면서 마지막 정리하시는것도 보는데 정리때 조리도구 정리도 깔끔하시고 매장도 청결해서 좋아요 잘되는데는 다 이유가 있음 삼성카드 냉면대전으로 3만원이상 4천원할인 몇달째 잘 먹고 있습니다 남편은 이집에서 꼭 완냉을 합니다 ㅋㅋㅋㅋ 오늘도 맛있게 잘 먹었습니다…🩷,289,True,,,,집 근처이기도 하지만 저는 을밀대가 제일 좋아요 면발과 육수가 둘다 훌륭 ㅠㅠㅜㅜ 오픈런 15분 전에 도착했는데도 이미 사람들 많더라구요 그래도 첫타임에 안정적으로 들어가긴 했어요 오픈시간 맞춰오시면 첫타임에 못 들어갈 수도 있을 것 같아요 동네살아서 산책하면서 마지막 정리하시는것도 보는데 정리때 조리도구 정리도 깔끔하시고 매장도 청결해서 좋아요 잘되는데는 다 이유가 있음 삼성카드 냉면대전으로 3만원이상 4천원할인 몇달째 잘 먹고 있습니다 남편은 이집에서 꼭 완냉을 합니다 ㅋㅋㅋㅋ 오늘도 맛있게 잘 먹었습니다…🩷,집 근처이기도 하지만 저는 을밀대가 제일 좋아요 면발과 육수가 둘다 훌륭 오픈런 15분 전에 도착했는데도 이미 사람들 많더라구요 그래도 첫타임에 안정적으로 들어가긴 했어요 오픈시간 맞춰오시면 첫타임에 못 들어갈 수도 있을 것 같아요 동네살아서 산책하면서 마지막 정리하시는것도 보는데 정리때 조리도구 정리도 깔끔하시고 매장도 청결해서 좋아요 잘되는데는 다 이유가 있음 삼성카드 냉면대전으로 3만원이상 4천원할인 몇달째 잘 먹고 있습니다 남편은 이집에서 꼭 완냉을 합니다 오늘도 맛있게 잘 먹었습니다,0,0,0,1,0,0,1,289,"원, 할인"
kakao,육산장 홍대본점,서현빈,2.0,2025-09-06,,,맛과 분위기 모두 잡은집 ! 기본반찬도 잘 나오고 정말 야외에서 시원하게 고기구워먹는 느낌입니다 다음에 또 올게요~!!,66,True,5.0,5.0,브론즈 레벨,맛과 분위기 모두 잡은집 ! 기본반찬도 잘 나오고 정말 야외에서 시원하게 고기구워먹는 느낌입니다 다음에 또 올게요~!!,맛과 분위기 모두 잡은집 EXCLAM 기본반찬도 잘 나오고 정말 야외에서 시원하게 고기구워먹는 느낌입니다 다음에 또 올게요 EXCLAM,0,0,0,0,1,0,0,66,원
naver,락희옥 마포본점,matinsoir36,70.0,2025.11.05,1번째 방문,예약,음식이 정말 맛있습니다 특히 돼지수육보쌈 훌륭합니다. 음식값이 조금 높다 싶지만 실제 맛보면 수긍이 가는 가격인데다 콜키지 프리(아이스버킷 5000원인데 이 정도는 괜찮음)여서 결과적으로는 대단히 만족스러워요.,117,False,,,,음식이 정말 맛있습니다 특히 돼지수육보쌈 훌륭합니다. 음식값이 조금 높다 싶지만 실제 맛보면 수긍이 가는 가격인데다 콜키지 프리(아이스버킷 5000원인데 이 정도는 괜찮음)여서 결과적으로는 대단히 만족스러워요.,음식이 정말 맛있습니다 특히 돼지수육보쌈 훌륭합니다 음식값이 조금 높다 싶지만 실제 맛보면 수긍이 가는 가격인데다 콜키지 프리 아이스버킷 5000원인데 이 정도는 괜찮음 여서 결과적으로는 대단히 만족스러워요,0,0,0,0,0,0,1,117,"가격, 값, 원"
naver,태양곱창 성수점,lunaaaaa2,127.0,2026.03.14,1번째 방문,영수증,막창이랑 곱창 다 맛있고 감자전도 맛있어요! 직원분들도 친절하세요!! 성수 맛집이에요,47,True,,,,막창이랑 곱창 다 맛있고 감자전도 맛있어요! 직원분들도 친절하세요!! 성수 맛집이에요,막창이랑 곱창 다 맛있고 감자전도 맛있어요 EXCLAM 직원분들도 친절하세요 EXCLAM 성수 맛집이에요,0,0,0,0,1,0,0,47,원
naver,마포양지설렁탕,오늘의리뷰는,3890.0,2025.12.31,4번째 방문,영수증,맛있게 잘 먹고 갑니다!!🤍 직원 분들도 넘 친절하셔요,30,True,,,,맛있게 잘 먹고 갑니다!!🤍 직원 분들도 넘 친절하셔요,맛있게 잘 먹고 갑니다 EXCLAM EMO_POS 직원 분들도 넘 친절하셔요,1,0,0,0,1,0,0,30,원
naver,을밀대 평양냉면,주마요,220.0,2026.03.05,1번째 방문,예약,평양냉면이랑 녹두전 먹었어요! 좀 비싸다 생각했는데 다시 가고 싶을 정도로 맛있었어요 같이간 친구는 평냉이 처음이었는데도 맛있다고 했어요👍🏻 아직 날이 풀리지 않아서 그런지 웨이팅도 없었습니다☺️,109,True,,,,평양냉면이랑 녹두전 먹었어요! 좀 비싸다 생각했는데 다시 가고 싶을 정도로 맛있었어요 같이간 친구는 평냉이 처음이었는데도 맛있다고 했어요👍🏻 아직 날이 풀리지 않아서 그런지 웨이팅도 없었습니다☺️,평양냉면이랑 녹두전 먹었어요 EXCLAM 좀 비싸다 생각했는데 다시 가고 싶을 정도로 맛있었어요 같이간 친구는 평냉이 처음이었는데도 맛있다고 했어요 EMO_POS 아직 날이 풀리지 않아서 그런지 웨이팅도 없었습니다,1,0,0,0,1,0,0,109,"비싸, 싸다"
kakao,홍대 조선시대,김은채,1.0,2026-01-29,,,가성비 좋고 너무 맛있어요~ 홍대 올때마다 들리는 곳♥,30,True,5.0,5.0,브론즈 레벨,가성비 좋고 너무 맛있어요~ 홍대 올때마다 들리는 곳♥,가성비 좋고 너무 맛있어요 홍대 올때마다 들리는 곳 EMO_POS,1,0,0,0,0,0,0,30,가성비
naver,원조 조박집 본관,0702313,80.0,2025.11.01,1번째 방문,영수증,토요일 12:30 걱정했는데 다행히 웨이팅없이 바로 들어갔어요 직원분들 너무너무친절하시구 좋았습니다 !! 불판도 제때 갈아주시고 수시로 체크하시면서 빈 반찬을 채워주시는것 같아요 ! 다만 음식은 너무 기대를 하고간 탓인지..... 저와 엄마기준에는 양념갈비 고기 간이 쎄서 짜다고 느껴졌고 ㅠㅠ 갈비살은 두껍고 뼈가 전부 크게 붙어있어서 불편했어요 .... 굽기도 어렵고.... 막 크게 특색이 있거나 진짜 기억에 남을 양념갈비 맛집? 인지 잘모르겠어요....ㅜㅜ 재방문 의사는 없습니다 ..!,276,True,,,,토요일 12:30 걱정했는데 다행히 웨이팅없이 바로 들어갔어요 직원분들 너무너무친절하시구 좋았습니다 !! 불판도 제때 갈아주시고 수시로 체크하시면서 빈 반찬을 채워주시는것 같아요 ! 다만 음식은 너무 기대를 하고간 탓인지..... 저와 엄마기준에는 양념갈비 고기 간이 쎄서 짜다고 느껴졌고 ㅠㅠ 갈비살은 두껍고 뼈가 전부 크게 붙어있어서 불편했어요 .... 굽기도 어렵고.... 막 크게 특색이 있거나 진짜 기억에 남을 양념갈비 맛집? 인지 잘모르겠어요....ㅜㅜ 재방문 의사는 없습니다 ..!,토요일 12 30 걱정했는데 다행히 웨이팅없이 바로 들어갔어요 직원분들 너무너무친절하시구 좋았습니다 EXCLAM 불판도 제때 갈아주시고 수시로 체크하시면서 빈 반찬을 채워주시는것 같아요 EXCLAM 다만 음식은 너무 기대를 하고간 탓인지 저와 엄마기준에는 양념갈비 고기 간이 쎄서 짜다고 느껴졌고 갈비살은 두껍고 뼈가 전부 크게 붙어있어서 불편했어요 굽기도 어렵고 막 크게 특색이 있거나 진짜 기억에 남을 양념갈비 맛집 QUESTION 인지 잘모르겠어요 재방문 의사는 없습니다 EXCLAM,0,0,0,1,1,1,1,276,원
naver,락희옥 마포본점,gab****,14.0,2025.09.29,1번째 방문,영수증,음식도 맛있고 위스키 콜키지도 무료여서 술마시기 좋아요. 직원분도 친절하고 또오고싶어요.,49,True,,,,음식도 맛있고 위스키 콜키지도 무료여서 술마시기 좋아요. 직원분도 친절하고 또오고싶어요.,음식도 맛있고 위스키 콜키지도 무료여서 술마시기 좋아요 직원분도 친절하고 또오고싶어요,0,0,0,0,0,0,0,49,원
kakao,홍대 조선시대,백재이,1.0,2025-12-23,,,"조선시대 컨셉에 맞춘 분위기가 너무 재밌었고, 여자 2명 기준 안주도 양이 많았어요! 딸기 막걸리 너무 맛있으니 다들 드셔요… 🍓 소주값도 다른 곳보다 저렴합니당!!!",93,False,5.0,5.0,브론즈 레벨,"조선시대 컨셉에 맞춘 분위기가 너무 재밌었고, 여자 2명 기준 안주도 양이 많았어요! 딸기 막걸리 너무 맛있으니 다들 드셔요… 🍓 소주값도 다른 곳보다 저렴합니당!!!",조선시대 컨셉에 맞춘 분위기가 너무 재밌었고 여자 2명 기준 안주도 양이 많았어요 EXCLAM 딸기 막걸리 너무 맛있으니 다들 드셔요 소주값도 다른 곳보다 저렴합니당 EXCLAM,0,0,0,0,1,0,1,93,"저렴, 값"
kakao,육산장 홍대본점,그늘민이,10.0,2025-10-03,,,가격도 괜찮고 맛있는데 무엇보다 분위기가 진짜 여행 온 것 같아 좋네용,39,True,5.0,2.6,브론즈 레벨,가격도 괜찮고 맛있는데 무엇보다 분위기가 진짜 여행 온 것 같아 좋네용,가격도 괜찮고 맛있는데 무엇보다 분위기가 진짜 여행 온 것 같아 좋네용,0,0,0,0,0,0,0,39,가격
kakao,옥동식 서교점,바르다숲선생,28.0,2025-05-17,,,"돼지국밥의 날카로운 면을 깎아내어 원으로 만든 것 같은 맛. 뭉툭한 본래의 돼지국밥은 없으나 호불호 없이 맑은 형태로 대다수를 만족시킬 수 있는 ‘맛있음’을 가지게 됨. 종종 생각날듯하다. 서비스, 품질, 입지를 고려할 때 합당하거나 오히려 저렴한 가격책정이라는 생각이 든다.",154,True,4.0,3.8,실버 레벨,"돼지국밥의 날카로운 면을 깎아내어 원으로 만든 것 같은 맛. 뭉툭한 본래의 돼지국밥은 없으나 호불호 없이 맑은 형태로 대다수를 만족시킬 수 있는 ‘맛있음’을 가지게 됨. 종종 생각날듯하다. 서비스, 품질, 입지를 고려할 때 합당하거나 오히려 저렴한 가격책정이라는 생각이 든다.",돼지국밥의 날카로운 면을 깎아내어 원으로 만든 것 같은 맛 뭉툭한 본래의 돼지국밥은 없으나 호불호 없이 맑은 형태로 대다수를 만족시킬 수 있는 맛있음 을 가지게 됨 종종 생각날듯하다 서비스 품질 입지를 고려할 때 합당하거나 오히려 저렴한 가격책정이라는 생각이 든다,0,0,0,0,0,0,0,154,"가격, 저렴, 원"
kakao,쭌곱창,허허실실,22.0,2025-02-13,,,너무 달고짜고 곱창에대한모욕 리뷰조작이 의심됩니다 직원분들이 친절해서 별2줌 그러나 음식맛으로인해 화만나고말았다..,64,True,2.0,3.6,실버 레벨,너무 달고짜고 곱창에대한모욕 리뷰조작이 의심됩니다 직원분들이 친절해서 별2줌 그러나 음식맛으로인해 화만나고말았다..,너무 달고짜고 곱창에대한모욕 리뷰조작이 의심됩니다 직원분들이 친절해서 별2줌 그러나 음식맛으로인해 화만나고말았다,0,0,0,0,0,0,1,64,원
kakao,을밀대 본점,문어,21.0,2025-04-11,,,"그 때 그 때 달라지는 고명 컨디션과 자리. 오늘은 어떤 게 당첨될까 매번 두근두근함. 본관 별관 옆집 2층 다 가봤는데 별관, 2층, 1층 방은 좌식임ㅜㅜ 다른 곳에 비해 국물 간이 슴슴하고, 일반/거냉/민자/양많이 등 버전이 여러 가지인데 가격은 모두 같음. 오돌토돌 거칠고 뚝뚝 끊어지는 면발, 길고 묵직해서 면 집기에 제격인 젓가락, 가로 방향으로 썬 계란, 부드럽고 따뜻한 육수 등이 시그니처인데 모두 다 무척 마음에 듦. 특히 육수는 소주 안주로 제격임. 그리고 무절임! 슴슴~하고 딱 적당하게 익은데다 무 본연의 맛이 잘 살아있는 무절임은 지금까지 먹어 본 모든 평냉집 곁들임 중 단연 원탑!! 녹두전은 바삭함을 넘어 딱딱한 수준인데, 개인적으론 치아가 안 좋아서 잘 시키지 않는다🥲",389,False,5.0,3.3,실버 레벨,"그 때 그 때 달라지는 고명 컨디션과 자리. 오늘은 어떤 게 당첨될까 매번 두근두근함. 본관 별관 옆집 2층 다 가봤는데 별관, 2층, 1층 방은 좌식임ㅜㅜ 다른 곳에 비해 국물 간이 슴슴하고, 일반/거냉/민자/양많이 등 버전이 여러 가지인데 가격은 모두 같음. 오돌토돌 거칠고 뚝뚝 끊어지는 면발, 길고 묵직해서 면 집기에 제격인 젓가락, 가로 방향으로 썬 계란, 부드럽고 따뜻한 육수 등이 시그니처인데 모두 다 무척 마음에 듦. 특히 육수는 소주 안주로 제격임. 그리고 무절임! 슴슴~하고 딱 적당하게 익은데다 무 본연의 맛이 잘 살아있는 무절임은 지금까지 먹어 본 모든 평냉집 곁들임 중 단연 원탑!! 녹두전은 바삭함을 넘어 딱딱한 수준인데, 개인적으론 치아가 안 좋아서 잘 시키지 않는다🥲",그 때 그 때 달라지는 고명 컨디션과 자리 오늘은 어떤 게 당첨될까 매번 두근두근함 본관 별관 옆집 2층 다 가봤는데 별관 2층 1층 방은 좌식임 다른 곳에 비해 국물 간이 슴슴하고 일반 거냉 민자 양많이 등 버전이 여러 가지인데 가격은 모두 같음 오돌토돌 거칠고 뚝뚝 끊어지는 면발 길고 묵직해서 면 집기에 제격인 젓가락 가로 방향으로 썬 계란 부드럽고 따뜻한 육수 등이 시그니처인데 모두 다 무척 마음에 듦 특히 육수는 소주 안주로 제격임 그리고 무절임 EXCLAM 슴슴 하고 딱 적당하게 익은데다 무 본연의 맛이 잘 살아있는 무절임은 지금까지 먹어 본 모든 평냉집 곁들임 중 단연 원탑 EXCLAM 녹두전은 바삭함을 넘어 딱딱한 수준인데 개인적으론 치아가 안 좋아서 잘 시키지 않는다,0,0,0,1,1,0,1,389,"가격, 원"
kakao,태양곱창 성수,키티덕후,5.0,2025-12-15,,,진짜 ★한개도 아까움 개 존 노 맛 돼지냄새 개ㅐㅐㅐ심하고 짜기만 하고 가격도 비싸고ㅡㅡ,49,True,1.0,2.8,브론즈 레벨,진짜 ★한개도 아까움 개 존 노 맛 돼지냄새 개ㅐㅐㅐ심하고 짜기만 하고 가격도 비싸고ㅡㅡ,진짜 한개도 아까움 개 존 노 맛 돼지냄새 개 심하고 짜기만 하고 가격도 비싸고,0,0,0,0,0,0,0,49,"가격, 비싸"
kakao,옥동식 서교점,이지호 dave.lake,2.0,2026-04-04,,,"토요일 디너 웨이팅을 위해 2시부터 1시간 넘게 기다렸는데, 현장 캐치테이블 키오스크 안내 문구가 “Lunch is over” -> “Dinner is over” 로 말도 없이 바뀌네요. 직원에게 물어보니 저녁까지 마감되었답니다. 밖에서 기다리는 사람들한테 말 한 마디라도 해줘야 하는 거 아닌가 싶네요.",170,True,1.0,3.0,브론즈 레벨,"토요일 디너 웨이팅을 위해 2시부터 1시간 넘게 기다렸는데, 현장 캐치테이블 키오스크 안내 문구가 “Lunch is over” -> “Dinner is over” 로 말도 없이 바뀌네요. 직원에게 물어보니 저녁까지 마감되었답니다. 밖에서 기다리는 사람들한테 말 한 마디라도 해줘야 하는 거 아닌가 싶네요.",토요일 디너 웨이팅을 위해 2시부터 1시간 넘게 기다렸는데 현장 캐치테이블 키오스크 안내 문구가 Lunch is over Dinner is over 로 말도 없이 바뀌네요 직원에게 물어보니 저녁까지 마감되었답니다 밖에서 기다리는 사람들한테 말 한 마디라도 해줘야 하는 거 아닌가 싶네요,0,0,0,0,0,0,1,170,원
kakao,능동미나리 성수점,앙,474.0,2025-06-21,,,달달허이 맛잇는대요???? 육비 곰탕 둘다 굿 막걸리는 그냥 페트로 된거 주전자에 따라줌 근데 역시 성수 줘홀래 비쌈,65,True,5.0,3.4,골드 레벨,달달허이 맛잇는대요???? 육비 곰탕 둘다 굿 막걸리는 그냥 페트로 된거 주전자에 따라줌 근데 역시 성수 줘홀래 비쌈,달달허이 맛잇는대요 QUESTION 육비 곰탕 둘다 굿 막걸리는 그냥 페트로 된거 주전자에 따라줌 근데 역시 성수 줘홀래 비쌈,0,0,0,0,0,1,0,65,비쌈
naver,이태리국시 성수,kim****,5.0,2026.05.06,1번째 방문,영수증,점심특선 메뉴와 갈비깍뚜기리조토 먹었어요 익숙한 맛이 나서 좋았습니다 ㅎㅎ 매장 분위기도 좋고 직원분들도 친절하세요 근처 오시면 추천합니다,77,True,,,,점심특선 메뉴와 갈비깍뚜기리조토 먹었어요 익숙한 맛이 나서 좋았습니다 ㅎㅎ 매장 분위기도 좋고 직원분들도 친절하세요 근처 오시면 추천합니다,점심특선 메뉴와 갈비깍뚜기리조토 먹었어요 익숙한 맛이 나서 좋았습니다 매장 분위기도 좋고 직원분들도 친절하세요 근처 오시면 추천합니다,0,0,0,0,0,0,0,77,원
