platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,음식_matched_keywords
naver,락희옥 마포본점,써니158,1032.0,2025.12.14,1번째 방문,영수증,음식이 깔끔하고 맛있어요 보쌈고기 엄청부드럽고 같이나온 김치도 맛있고~새우젓도 맛있어요.굴무침도 새콤하니 맛있어요 음식종류도 많네요,73,True,,,,음식이 깔끔하고 맛있어요 보쌈고기 엄청부드럽고 같이나온 김치도 맛있고~새우젓도 맛있어요.굴무침도 새콤하니 맛있어요 음식종류도 많네요,음식이 깔끔하고 맛있어요 보쌈고기 엄청부드럽고 같이나온 김치도 맛있고 새우젓도 맛있어요 굴무침도 새콤하니 맛있어요 음식종류도 많네요,0,0,0,0,0,0,0,73,"맛, 맛있, 음식, 고기, 김치, 보쌈"
naver,옥동식,rhthal2020,49.0,2026.01.28,1번째 방문,영수증,옥동식 맛있어요👍,9,True,,,,옥동식 맛있어요👍,옥동식 맛있어요 EMO_POS,1,0,0,0,0,0,0,9,"맛, 맛있"
naver,금금 성수점,pokezzang33,32.0,2026.03.28,1번째 방문,영수증,아이와 성수 나들이 와서 처음 먹은 곳!! 한식 + 고기 먹이고 싶은 마음에 찾아왔는데 너무 잘 먹었습니다! 아이도 너무 잘먹고 어른도 잘먹어서 메뉴 사진 하나 찍고 뒤에는 먹느라 사진 찍는것도 잊고 먹었네요!,117,True,,,,아이와 성수 나들이 와서 처음 먹은 곳!! 한식 + 고기 먹이고 싶은 마음에 찾아왔는데 너무 잘 먹었습니다! 아이도 너무 잘먹고 어른도 잘먹어서 메뉴 사진 하나 찍고 뒤에는 먹느라 사진 찍는것도 잊고 먹었네요!,아이와 성수 나들이 와서 처음 먹은 곳 EXCLAM 한식 고기 먹이고 싶은 마음에 찾아왔는데 너무 잘 먹었습니다 EXCLAM 아이도 너무 잘먹고 어른도 잘먹어서 메뉴 사진 하나 찍고 뒤에는 먹느라 사진 찍는것도 잊고 먹었네요 EXCLAM,0,0,0,0,1,0,0,117,"메뉴, 고기"
naver,홍대 육지,복북복복,54.0,2026.03.03,1번째 방문,영수증,"홍대, 합정 고기는 여기입니다!! 어디서도 맛 볼 수 없던 메뉴를 맛 볼 수 있어서 좋았어요 된장찌개 고기도 넉넉하고 깔끔하니 정말 맛있게 잘 먹었네여!!",86,True,,,,"홍대, 합정 고기는 여기입니다!! 어디서도 맛 볼 수 없던 메뉴를 맛 볼 수 있어서 좋았어요 된장찌개 고기도 넉넉하고 깔끔하니 정말 맛있게 잘 먹었네여!!",홍대 합정 고기는 여기입니다 EXCLAM 어디서도 맛 볼 수 없던 메뉴를 맛 볼 수 있어서 좋았어요 된장찌개 고기도 넉넉하고 깔끔하니 정말 맛있게 잘 먹었네여 EXCLAM,0,0,0,0,1,0,0,86,"맛, 맛있, 메뉴, 고기"
kakao,일등식당,서준,125.0,2025-01-03,,,국물이 깔끔한듯 밍밍한 평범한 맛,18,False,3.0,3.4,실버 레벨,국물이 깔끔한듯 밍밍한 평범한 맛,국물이 깔끔한듯 밍밍한 평범한 맛,0,0,0,0,0,0,0,18,"맛, 국물"
naver,육산장 홍대본점,rhk****,1.0,2026.03.21,1번째 방문,영수증,너무너무 맛있어요 담에 또 올 예정 ㅎㅎㅎ 분위기 짱입니당,32,True,,,,너무너무 맛있어요 담에 또 올 예정 ㅎㅎㅎ 분위기 짱입니당,너무너무 맛있어요 담에 또 올 예정 분위기 짱입니당,0,0,0,0,0,0,0,32,"맛, 맛있"
naver,금금 성수점,윤서6535,30.0,2026.04.10,1번째 방문,영수증,고기도 많이 들어있고 맛있어용 버섯 싫어해서 하나는 빼달라고 미리 말씀드렸더니 빼고 해주셨습니당!! 가게도 깔끔하고 좋았어유,69,True,,,,고기도 많이 들어있고 맛있어용 버섯 싫어해서 하나는 빼달라고 미리 말씀드렸더니 빼고 해주셨습니당!! 가게도 깔끔하고 좋았어유,고기도 많이 들어있고 맛있어용 버섯 싫어해서 하나는 빼달라고 미리 말씀드렸더니 빼고 해주셨습니당 EXCLAM 가게도 깔끔하고 좋았어유,0,0,0,0,1,0,0,69,"맛, 맛있, 고기"
kakao,육산장 홍대본점,윤채은,1.0,2025-12-06,,,맛있고 분위기가 너무 좋아요!!,17,True,5.0,5.0,브론즈 레벨,맛있고 분위기가 너무 좋아요!!,맛있고 분위기가 너무 좋아요 EXCLAM,0,0,0,0,1,0,0,17,"맛, 맛있"
kakao,육산장 홍대본점,최석우,1.0,2026-01-18,,,분위기도 너무 좋고 맛있어요!,16,True,5.0,5.0,브론즈 레벨,분위기도 너무 좋고 맛있어요!,분위기도 너무 좋고 맛있어요 EXCLAM,0,0,0,0,1,0,0,16,"맛, 맛있"
naver,성수족발,맛집이좋아요 진짜로,878.0,2025.10.29,1번째 방문,영수증,아주 맛나요! 분명히 이곳은 와야합니다!!,23,True,,,,아주 맛나요! 분명히 이곳은 와야합니다!!,아주 맛나요 EXCLAM 분명히 이곳은 와야합니다 EXCLAM,0,0,0,0,1,0,0,23,맛
naver,육산장 홍대본점,꽁아꿍,55.0,2026.03.20,1번째 방문,영수증,가족들과 저녁먹으러왔어요ㅎㅎ고기도 사이드메뉴들도 너무 맛나고 마음에 들어요 ♥️👍🏻!,47,True,,,,가족들과 저녁먹으러왔어요ㅎㅎ고기도 사이드메뉴들도 너무 맛나고 마음에 들어요 ♥️👍🏻!,가족들과 저녁먹으러왔어요 고기도 사이드메뉴들도 너무 맛나고 마음에 들어요 EMO_POS EMO_POS EXCLAM,1,0,0,0,1,0,0,47,"맛, 메뉴, 고기"
