store_name,platform,review_count,avg_food_score,avg_price_score,avg_service_score,avg_atmosphere_score,avg_general_score,avg_total_score,avg_sentiment_star,avg_rating,avg_diff_abs,positive_ratio,neutral_ratio,negative_ratio
뼈탄집 성수역점,naver,165,1.7515151515151515,0.03636363636363636,0.40606060606060607,0.40606060606060607,1.587878787878788,4.1878787878787875,4.583333333333333,,4.583333333333333,0.9151515151515152,0.04242424242424243,0.04242424242424243
성수족발,kakao,26,0.038461538461538464,-0.11538461538461539,0.038461538461538464,0.0,-0.5769230769230769,-0.6153846153846154,2.9496153846153845,3.0,1.1965384615384616,0.23076923076923078,0.23076923076923078,0.5384615384615384
성수족발,naver,108,0.28703703703703703,-0.027777777777777776,0.0,0.046296296296296294,-0.009259259259259259,0.2962962962962963,3.3375925925925922,,3.3375925925925922,0.42592592592592593,0.24074074074074073,0.3333333333333333
소문난성수감자탕,kakao,174,-0.26436781609195403,-0.04597701149425287,-0.2471264367816092,-0.11494252873563218,-1.0747126436781609,-1.7471264367816093,2.544655172413793,2.3908045977011496,0.9678735632183908,0.1724137931034483,0.12643678160919541,0.7011494252873564
소문난성수감자탕,naver,153,0.4444444444444444,0.05228758169934641,-0.0718954248366013,-0.0457516339869281,-0.26143790849673204,0.11764705882352941,3.2569934640522877,,3.2569934640522877,0.43137254901960786,0.22875816993464052,0.33986928104575165
옥동식,naver,143,0.5944055944055944,-0.04895104895104895,-0.04895104895104895,0.02097902097902098,0.1888111888111888,0.7062937062937062,3.4582517482517483,,3.4582517482517483,0.46853146853146854,0.26573426573426573,0.26573426573426573
옥동식 서교점,kakao,97,0.061855670103092786,-0.061855670103092786,-0.05154639175257732,0.0,-0.41237113402061853,-0.4639175257731959,3.007216494845361,3.4123711340206184,1.0950515463917525,0.29896907216494845,0.1958762886597938,0.5051546391752577
원조 조박집 본관,naver,70,0.7428571428571429,0.07142857142857142,0.12857142857142856,-0.014285714285714285,0.1,1.0285714285714285,3.5587142857142857,,3.5587142857142857,0.4857142857142857,0.2714285714285714,0.24285714285714285
원조조박집 본관,kakao,22,0.5909090909090909,0.045454545454545456,0.3181818181818182,-0.13636363636363635,-0.2727272727272727,0.5454545454545454,3.4040909090909093,3.909090909090909,0.7668181818181818,0.4090909090909091,0.18181818181818182,0.4090909090909091
육산장 홍대본점,kakao,67,1.0597014925373134,0.0,0.0,0.44776119402985076,1.1044776119402986,2.611940298507463,4.118358208955224,4.552238805970149,0.583134328358209,0.7611940298507462,0.13432835820895522,0.1044776119402985
육산장 홍대본점,naver,109,1.2935779816513762,0.05504587155963303,0.1926605504587156,0.5596330275229358,1.7706422018348624,3.871559633027523,4.564311926605504,,4.564311926605504,0.8899082568807339,0.08256880733944955,0.027522935779816515
육지,kakao,91,1.2857142857142858,-0.02197802197802198,0.3076923076923077,0.2087912087912088,0.3076923076923077,2.087912087912088,3.9013186813186813,3.934065934065934,0.7090109890109889,0.6373626373626373,0.12087912087912088,0.24175824175824176
을밀대 본점,kakao,107,0.4672897196261682,-0.1308411214953271,-0.056074766355140186,-0.06542056074766354,-0.14018691588785046,0.07476635514018691,3.230841121495327,3.8598130841121496,1.202429906542056,0.3644859813084112,0.2523364485981308,0.38317757009345793
을밀대 평양냉면,naver,139,1.0215827338129497,-0.02877697841726619,0.0,0.050359712230215826,0.2805755395683453,1.3237410071942446,3.6925179856115107,,3.6925179856115107,0.60431654676259,0.15827338129496402,0.23741007194244604
이태리국시 성수,kakao,91,1.2527472527472527,0.01098901098901099,0.13186813186813187,0.4835164835164835,1.2527472527472527,3.131868131868132,4.316813186813187,4.824175824175824,0.6003296703296703,0.8021978021978022,0.10989010989010989,0.08791208791208792
이태리국시 성수,naver,183,1.6721311475409837,0.0546448087431694,0.16939890710382513,0.44808743169398907,1.4043715846994536,3.748633879781421,4.376338797814208,,4.376338797814208,0.8087431693989071,0.11475409836065574,0.07650273224043716
일등식당,kakao,35,0.8857142857142857,0.05714285714285714,-0.02857142857142857,0.0,-0.11428571428571428,0.8,3.3997142857142855,4.0285714285714285,1.0545714285714285,0.4,0.22857142857142856,0.37142857142857144
일등식당,naver,68,0.9117647058823529,0.22058823529411764,0.04411764705882353,0.04411764705882353,0.7205882352941176,1.9411764705882353,3.967941176470588,,3.967941176470588,0.6764705882352942,0.19117647058823528,0.1323529411764706
장인닭갈비 홍대점,kakao,136,0.8970588235294118,0.09558823529411764,0.007352941176470588,0.10294117647058823,0.7647058823529411,1.8676470588235294,3.899191176470588,4.301470588235294,0.6896323529411765,0.6764705882352942,0.125,0.19852941176470587
장인닭갈비 홍대점,naver,88,1.0681818181818181,0.25,0.3977272727272727,0.17045454545454544,0.5227272727272727,2.409090909090909,4.116931818181818,,4.116931818181818,0.7613636363636364,0.09090909090909091,0.14772727272727273
조선시대,naver,126,1.3968253968253967,0.10317460317460317,0.15873015873015872,0.5,1.5634920634920635,3.7222222222222223,4.524285714285714,,4.524285714285714,0.8809523809523809,0.06349206349206349,0.05555555555555555
쭌곱창,kakao,64,0.953125,0.03125,0.296875,0.046875,0.8125,2.140625,3.979375,4.375,0.7565625,0.640625,0.21875,0.140625
쭌곱창,naver,116,1.8879310344827587,0.0603448275862069,0.46551724137931033,0.14655172413793102,1.1810344827586208,3.7413793103448274,4.506637931034483,,4.506637931034483,0.8879310344827587,0.08620689655172414,0.02586206896551724
태양곱창 성수,kakao,57,-0.19298245614035087,-0.03508771929824561,0.08771929824561403,0.05263157894736842,-0.19298245614035087,-0.2807017543859649,3.082105263157895,3.1052631578947367,0.9435087719298246,0.3684210526315789,0.14035087719298245,0.49122807017543857
태양곱창 성수점,naver,111,1.2882882882882882,0.22522522522522523,0.14414414414414414,0.0990990990990991,0.6036036036036037,2.3603603603603602,4.0999099099099094,,4.0999099099099094,0.7927927927927928,0.13513513513513514,0.07207207207207207
할머니의 레시피,naver,66,0.8181818181818182,0.030303030303030304,0.24242424242424243,0.09090909090909091,0.6363636363636364,1.8181818181818181,3.6939393939393943,,3.6939393939393943,0.5606060606060606,0.12121212121212122,0.3181818181818182
할머니의레시피,kakao,29,0.2413793103448276,0.0,-0.6896551724137931,-0.10344827586206896,-0.10344827586206896,-0.6551724137931034,2.9468965517241377,2.5517241379310347,0.7241379310344828,0.3793103448275862,0.034482758620689655,0.5862068965517241
홍대 육지,naver,165,1.696969696969697,0.01818181818181818,0.4727272727272727,0.24848484848484848,1.4787878787878788,3.915151515151515,4.50769696969697,,4.50769696969697,0.8606060606060606,0.09696969696969697,0.04242424242424243
홍대 조선시대,kakao,61,1.3934426229508197,0.08196721311475409,0.36065573770491804,0.4918032786885246,1.3934426229508197,3.721311475409836,4.5636065573770495,4.868852459016393,0.42196721311475416,0.9180327868852459,0.04918032786885246,0.03278688524590164
황금콩밭,kakao,44,0.6136363636363636,-0.11363636363636363,-0.022727272727272728,0.045454545454545456,0.18181818181818182,0.7045454545454546,3.485,3.6136363636363638,0.7090909090909091,0.5,0.20454545454545456,0.29545454545454547
황금콩밭,naver,73,0.8356164383561644,0.0,0.0136986301369863,0.0684931506849315,0.4931506849315068,1.4109589041095891,3.7160273972602735,,3.7160273972602735,0.5342465753424658,0.1917808219178082,0.273972602739726
훼미리손칼국수보쌈,kakao,51,0.2549019607843137,0.0392156862745098,-0.3333333333333333,0.0,-0.3137254901960784,-0.35294117647058826,3.0998039215686277,3.392156862745098,1.137058823529412,0.39215686274509803,0.17647058823529413,0.43137254901960786
훼미리손칼국수보쌈,naver,147,0.9387755102040817,0.08843537414965986,-0.047619047619047616,-0.06802721088435375,0.027210884353741496,0.9387755102040817,3.5702040816326535,,3.5702040816326535,0.5986394557823129,0.10884353741496598,0.2925170068027211
