식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무,store,group,account_id,account_review_count,visit_date,visit_count_raw,verification,has_photo_raw,review_text,rating,account_avg_rating,has_photo,visit_count,clean_review,review_length,clean_length,length_under_10,length_under_30,length_over_30,length_over_60,food_detail_count,has_food_detail,strong_food_detail_review,menu_count,has_menu,rich_menu_review,experience_count,has_experience,strong_experience_review,context_count,has_context,has_any_number,number_detail_count,has_number_detail,generic_praise_count,has_generic_praise,intensifier_count,intensifier_over_3,exclamation_count,exclamation_over_3,sns_event_count,has_sns_event,mixed_sentiment,trendy_revisit_count,has_trendy_revisit_phrase,account_review_count_is_1,account_review_count_under_5,account_review_count_over_10,account_review_count_over_50,first_visit,revisit,menu_and_food_detail,short_generic_review,ultra_short_praise,generic_without_detail,menu_only_praise,experience_rich_review,high_specificity_review,rich_context_review,low_information_review,event_like_short_praise,event_like_sns_or_service,event_like_low_info_first_visit
태양곱창 성수점,mar****,37,2026.03.14,1번째 방문,영수증,걷다가 우연히 들어온 곳인데 매장도 깔끔하고 가격도 합리적이고 너무 맛있어요 !! 또 방문할 것 같아요,57,True,태양곱창,event,mar****,37,2026.03.14,1번째 방문,영수증,,걷다가 우연히 들어온 곳인데 매장도 깔끔하고 가격도 합리적이고 너무 맛있어요 !! 또 방문할 것 같아요,,,0,1,걷다가 우연히 들어온 곳인데 매장도 깔끔하고 가격도 합리적이고 너무 맛있어요 또 방문할 것 같아요,57,54,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
태양곱창 성수점,luciferin9,59,2025.10.11,1번째 방문,영수증,기다린 보람이 있어요!!!,14,True,태양곱창,event,luciferin9,59,2025.10.11,1번째 방문,영수증,,기다린 보람이 있어요!!!,,,0,1,기다린 보람이 있어요,14,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
태양곱창 성수점,youjin3,7,2025.10.11,1번째 방문,영수증,직원분도 친절하시고 맛있어용ㅎㅎ 굿굿,20,True,태양곱창,event,youjin3,7,2025.10.11,1번째 방문,영수증,,직원분도 친절하시고 맛있어용ㅎㅎ 굿굿,,,0,1,직원분도 친절하시고 맛있어용 굿굿,20,18,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
태양곱창 성수점,rla****,62,2025.11.08,1번째 방문,영수증,잡내안나고 맛있어요~^^b,14,True,태양곱창,event,rla****,62,2025.11.08,1번째 방문,영수증,,잡내안나고 맛있어요~^^b,,,0,1,잡내안나고 맛있어요 b,14,12,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
태양곱창 성수점,도마도68,40,2025.09.30,1번째 방문,영수증,양 많고 맛있어요 평일인데도 사람이 많네용ㅋㅋㅋ맛있어용ㄹㅇ,32,True,태양곱창,event,도마도68,40,2025.09.30,1번째 방문,영수증,,양 많고 맛있어요 평일인데도 사람이 많네용ㅋㅋㅋ맛있어용ㄹㅇ,,,0,1,양 많고 맛있어요 평일인데도 사람이 많네용 맛있어용,32,28,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
태양곱창 성수점,정성휘14,20,2025.11.17,1번째 방문,영수증,지난번에 먹고 맛있어서 또 왔습니다. 날이 추워지니 딱 좋네요,34,True,태양곱창,event,정성휘14,20,2025.11.17,1번째 방문,영수증,,지난번에 먹고 맛있어서 또 왔습니다. 날이 추워지니 딱 좋네요,,,0,1,지난번에 먹고 맛있어서 또 왔습니다 날이 추워지니 딱 좋네요,34,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
태양곱창 성수점,줼미,70,2025.12.06,1번째 방문,영수증,유명해서 처음 먹어봤는데 너무 맛있어요~~,23,True,태양곱창,event,줼미,70,2025.12.06,1번째 방문,영수증,,유명해서 처음 먹어봤는데 너무 맛있어요~~,,,0,1,유명해서 처음 먹어봤는데 너무 맛있어요,23,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1
태양곱창 성수점,필립9193,68,2026.01.29,1번째 방문,영수증,성수에서 곱창 먹을 일 있으면 항상 방문하는 집 중 하나입니다 너무너무 맛있게 잘 먹고 있습니다 ????,56,True,태양곱창,event,필립9193,68,2026.01.29,1번째 방문,영수증,,성수에서 곱창 먹을 일 있으면 항상 방문하는 집 중 하나입니다 너무너무 맛있게 잘 먹고 있습니다 ????,,,0,1,성수에서 곱창 먹을 일 있으면 항상 방문하는 집 중 하나입니다 너무너무 맛있게 잘 먹고 있습니다,58,53,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
태양곱창 성수점,지안641,703,2026.03.08,1번째 방문,영수증,2인분에 순대추가햇어요 냥,14,True,태양곱창,event,지안641,703,2026.03.08,1번째 방문,영수증,,2인분에 순대추가햇어요 냥,,,0,1,2인분에 순대추가햇어요 냥,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
태양곱창 성수점,ej0****,37,2025.10.09,1번째 방문,영수증,맛있게 잘 먹고 갑니다 !!,15,True,태양곱창,event,ej0****,37,2025.10.09,1번째 방문,영수증,,맛있게 잘 먹고 갑니다 !!,,,0,1,맛있게 잘 먹고 갑니다,15,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1
