계정 ID,계정의 리뷰 수,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
정콩이,33,2024-01-28,3.0,True,16,오므라이스는 그냥 그랬어요~!,실버 레벨
세줄요약,101,2024-01-08,4.0,True,78,"☝️분위기는 확실히 좋음 ✌️생각보다 돈까스가 진짜 맛있다! 명란파스타는 마늘맛이 강한 느낌 🤟직원분들도 친절하고, 무난무난 데이트하기 좋음",골드 레벨
iliil,14,2024-01-06,4.0,False,35,붓카케우동 맛있어요 웨이팅 할 수 있는 자리가 있어서 좋았습니다,실버 레벨
기준점 3점,525,2024-01-02,3.0,False,33,생선까스 좀 느끼했는데 먹을만은 했다 분위기에 돈 내는 식당,골드 레벨
banana lizard,150,2023-11-26,1.0,False,27,명란파스타 명란맛 하나도없고 설탕 간장 맛만 나요,골드 레벨
우린 뜨겁고 눈부셔,469,2023-11-07,4.0,False,92,"직원분들 친절하고, 조용히 대화하며 식사하기 좋아요. 다만, 나이프가 날이 약한지 고기가 잘 안 썰리는 불편함이 있어요. 식사는 정갈하고 적당히 단짠이었습니다. ^^",골드 레벨
효원,19,2023-10-31,5.0,True,168,기본 사케동에 이 천원 더 보태서 사케도로동 시켰는데 비린맛과 느끼함이 정말 적어 제가 먹어 본 사케동 중에 제일 맛있었습니다. 전체적으로 다른 메뉴들도 무난하고 깔끔한 맛입니다. 직원 분들도 다 친절하셨어요. 평일에 웨이팅했지만 회전율이 빨라서 금방 먹었어요. 큰 기대없이 가신다면 만족하실듯 합니더,실버 레벨
먹고노는게제일좋아,1593,2023-10-23,3.0,True,139,연어덮밥 연어에서 비린맛 났어요ㅠ 상태 안 좋은 걸 쓴건지 숙성을 잘못한 건지 잘 모르겠지만 한 입 먹고 안 머금 익선점은 연어덮밥 나쁘지 않았는데... 가츠나베는 달달하니 괜찮았어요 뭐 하나 엄청 맛있다고는 못 느낌ㅋㅋㅋ 별점 2.5 주고 싶습니당,퍼플 레벨
히영,137,2023-09-26,3.0,True,35,"웨이팅이 좀 있긴 하지만, 음식이 깔끔해서 담백하게 먹기 좋다!",골드 레벨
똑똑똑,126,2023-09-17,2.0,False,33,딱히 맛있는지 모르겠어요 양도 적고 웨이팅할 정도는 아닙니다,실버 레벨
달달한에쏘,39,2023-09-15,3.0,True,42,함박스테이크 맛있었어요 2인용 테이블이 많아서 3명 이상은 많이 기다려야해요,실버 레벨
김하민,88,2024-06-05,2.0,False,88,한옥풍의 인테리어가 좋음. 웨이팅 겁나 김. 40분. 메뉴가 엄청 많은데 장르도 돼지스테이크부터 붓카게우동까지 중구난방이라 큐레이션의 측면에서 쎄한 느낌...,실버 레벨
찐팩폭,990,2024-02-26,4.0,True,63,장어덮밥 맛있음 시그니처는 연어덮밥 등이라고 함 웨이팅하는데 의자에 앉으라고 강요함 앉든서있든은 내 자유아님...,블루 레벨
효원,19,2023-10-31,5.0,True,68,기본 사케동에 이 천원 더 보태서 사케도로동 시켰는데 비린맛과 느끼함이 정말 적어 제가 먹어 본 사케동 중에 제일 맛...,실버 레벨
주관적인후기,80,2023-08-18,5.0,False,13,맛있습니다. 친절하고요.,실버 레벨
커비,563,2023-07-25,4.0,False,2,:),골드 레벨
ㅍㅁㅍ,7,2023-07-09,4.0,False,138,"연어도 신선하고 고기도 부드럽고 튀김도 바삭하고 양도 배부르게 먹었습니다 한옥느낌이라 엔틱하니 마당에서 하늘뷰가 정말 이뻤어요 대기팀이 많았어서 걱정했는데 미리 주문받는 시스템이라 테이블 회전이 빨라서 좋았어요 -히레가츠, 사케동, 에비크림고로켓-",브론즈 레벨
힙니,462,2023-07-02,4.0,True,33,음식 깔끔하고 웨이팅안내도 정확하고 분위기도 너무 좋네요 !,골드 레벨
모과,22,2023-06-25,4.0,False,99,간장 베이스의 돼지고기 무 조림 맛있음 (메뉴 이름 기억 안남ㅠ) 직원 친절함 외관이 분위기 있음 보기보다 양 많음 명란오일파스타는 별로.. 면이 딱딱하고 소스랑 따로 노는 느낌,실버 레벨
윤,138,2023-06-23,4.0,False,49,한옥 인테리어에 나무들까지 너무 분위기 있는 인테리어에요 음식은 그냥저냥 평범..합니다!,골드 레벨
jw,3,2023-06-09,5.0,False,24,"연어스테이크 너무 맛있고, 가끔 생각나는 곳",브론즈 레벨
초이,108,2023-05-31,4.0,True,34,분위기 괜찮고 독채는 조용해서 좋았어요 음식도 정갈해서 좋아요,골드 레벨
방배짱이,35,2023-05-26,4.0,True,77,분위기빨이 8할은 하지만 맛도 나쁘지 않았습니다. 주변이 워낙 붐빌때가 있고 그래서 그렇지만 굳이 웨이팅까지 할 정도는 아닌거 같네요...,실버 레벨
맛있어도 불친절은 사양,38,2023-05-21,5.0,True,111,친구랑 어디가지? 하면 호불호없이 가기 좋은 곳이에요 기다리는데 직원분이 치마 짧은 분에게 담요 덮어주는 거 보고 친구랑 감동받았어요 메뉴 다 맛있어서 음! 음~! 하면서 싹싹긁어먹었어요 또가고싶네요,실버 레벨
부비,24,2023-05-19,3.0,True,189,음식은 매우 평범해요 가게 인테리어랑 감성으로 웨이팅이 긴게 오히려 별점 와장창 갉아먹음 다른 일식집이랑 비교해서 특별히 양이 많거나 맛있는것도 아니고 프렌차이즈화 되버려서 특색있는것도 아닌데 1시간내로 먹고 가야된다고 생각하니 두번은 안 가고싶은 기분..? 다른 일식집가서 생선가츠 먹으면 더 싼 가격에 맛도 있고 양도 괜찮은데..굳이?,실버 레벨
사형수가된다면마지막은햄버거,524,2023-05-16,5.0,True,423,직원분들이 세상 친절하심. 그냥 아르바이트 대충 쓰는 느낌이 절대아니고 서비스교육을 따로 진행하시는 느낌이에요. 유니폼부터 딱 맞추셔서 깔끔하고 응대도 되게 전문적이시고 한분도 빠짐없이 친절하게 대해주셔서 데이트하거나 소개팅 할 때 완전 추천드려요! 가게 분위기가 넘 좋아용ㅠㅠㅜ한옥의 고즈넉한 느낌... 음식도 개맛있음. 우니파스타랑 붓가케 우동이랑 스테키동 강추드립니당 갈때마다 먹는 메뉴예요. 우니파스타 완전 꼬소함(호불호갈림 주의) 그리고 우메보시가 반찬으로 나와서 행복해요 유일한 단점은 가격대가 초큼 있지만 요즘 다 올라서 뭐 이정도는..기분좋은 한끼식사로 지불할 의향이 있습니다! *엇 후기 쭉봤는데 평이 안좋네요...! 저는 이전에 간 기억때문에 바로 간건데 5/15 기준으로는 많이 개선된거같은데 다시 한번 가보셔도 괜찮을거가타용 총총...,블루 레벨
이경아,6,2023-05-11,2.0,False,154,3년전까지 자주 다니던 곳이고 다양한메뉴를 먹어봤었는데 주관적 사견으로 생선가스양이 이집 처럼 적은양은 난생 처음입니다. 저렴한 가격이라도 다시는 사먹지 않을 양과 평범한 맛이였어요. 적다고 말했으나 적양이라 하더군요. 사케동은 괜찮은 퀄리티고 분위기는 좋아서 2점 주었네요.,브론즈 레벨
JEWOL,8,2023-05-05,1.0,True,51,매우 짜고 내용물이 너무 부실해서 이 가격에 왜 웨이팅까지 하면서 먹는지 이해할 수 없었다.,브론즈 레벨
Iris-youngsun,1,2023-04-19,1.0,True,188,처음 갔을 때 너무 좋아서 부모님 모시고 방 예약해서 갔는데 주문한 함박스테이크를 잘라보니 많은 부분이 생고기로 전혀 익지 않았어요. 보통 온도를 체크하거나 가운데 눌러보면 익은지 안익은지 알 수 있을텐데 많이 아쉬웠어요. 그리고 아무런 사과도 없이 주방에서 익혀준다고 하고 또 그냥 별 말없이 가져다 주시는 거는 많이 당황스러웠습니다.,브론즈 레벨
ㅍㅁㅍ,7,2023-07-09,4.0,False,78,연어도 신선하고 고기도 부드럽고 튀김도 바삭하고 양도 배부르게 먹었습니다 한옥느낌이라 엔틱하니 마당에서 하늘뷰가 정말 이뻤어요 대기팀이...,브론즈 레벨
