store_name,review_count,final_sentiment_mean,trust_adjusted_sentiment_mean,knu_sentiment_mean,custom_sentiment_mean,knu_matched_total,custom_matched_total,removed_overlap_total,food_score_mean,price_score_mean,service_score_mean,atmosphere_score_mean,trust_weight_mean,final_score_w03_mean,final_score_w05_mean,final_score_w10_mean
원조 조박집 본관,111,0.581959951022451,0.581959951022451,0.37506108787358783,0.4137977262977263,199,179,186,0.5731231231231231,0.04054054054054054,0.19204204204204203,0.11936936936936937,1.0,0.49920040576290575,0.581959951022451,0.7888588141713141
각시보쌈,260,0.5200590563574977,0.5200590563574977,0.3249686259545672,0.39018086080586084,520,336,368,0.5827596153846154,0.055961538461538465,0.05365384615384615,0.12461538461538461,1.0,0.44202288419632546,0.5200590563574977,0.715149486760428
을밀대 평양냉면,200,0.47294278971028975,0.47294278971028975,0.2664282063769564,0.41302916666666667,409,263,241,0.5830958333333334,0.005,0.08224999999999999,0.16162500000000002,1.0,0.39033695637695637,0.47294278971028975,0.6794573730436231
옥동식,189,0.4688113906963113,0.4688113906963113,0.2535068429512874,0.43060909549004783,523,310,333,0.6190299823633157,0.005291005291005291,0.05291005291005291,0.12698412698412698,1.0,0.38268957159830175,0.4688113906963113,0.6841159384413353
마포양지설렁탕,114,0.4580148524720893,0.4580148524720893,0.29314956425153793,0.32973057644110276,143,107,127,0.5537280701754386,0.0,0.017543859649122806,0.08333333333333333,1.0,0.39206873718386875,0.4580148524720893,0.6228801406926406
일등식당,165,0.43004610389610387,0.43004610389610387,0.24061681096681095,0.37885858585858584,300,197,236,0.5466161616161616,0.06363636363636363,0.03818181818181818,0.08484848484848485,1.0,0.3542743867243867,0.43004610389610387,0.6194753968253968
능동미나리 성수점,158,0.42057391500904157,0.42057391500904157,0.2410897377938517,0.3589683544303797,323,175,186,0.5560021097046414,0.006329113924050633,0.08734177215189873,0.07805907172995781,1.0,0.34878024412296565,0.42057391500904157,0.6000580922242315
훼미리손칼국수보쌈,275,0.41750754477845387,0.41750754477845387,0.2486151205360296,0.33778484848484847,666,358,439,0.5348701298701299,0.06072727272727273,0.07945454545454546,0.045909090909090906,1.0,0.34995057508148414,0.41750754477845387,0.5863999690208781
굴다리식당,130,0.3353519688644689,0.3353519688644689,0.19436265262515265,0.2819786324786325,261,110,127,0.4707692307692308,-0.007692307692307693,0.0882051282051282,0.023076923076923078,1.0,0.27895624236874234,0.3353519688644689,0.4763412851037851
태양곱창 성수,78,0.33185312372812376,0.33185312372812376,0.1985518416768417,0.2666025641025641,153,89,91,0.4013888888888889,0.0,0.08333333333333333,0.05128205128205128,1.0,0.2785326109076109,0.33185312372812376,0.4651544057794058
금금,40,0.3072806547619048,0.3072806547619048,0.17832232142857143,0.2579166666666667,49,33,34,0.38675,0.0,0.09375,0.0,1.0,0.25569732142857143,0.3072806547619048,0.4362389880952381
원조조박집 본관,37,0.3072635135135135,0.3072635135135135,0.15489864864864866,0.3047297297297297,67,35,39,0.4033783783783784,0.0,0.16756756756756758,0.07162162162162163,1.0,0.24631756756756756,0.3072635135135135,0.45962837837837844
옥동식 서교점,130,0.2722338064240541,0.2722338064240541,0.1507658577061054,0.24293589743589744,386,135,179,0.3666346153846154,0.0,0.03173076923076923,0.046153846153846156,1.0,0.22364662693687462,0.2722338064240541,0.3937017551420028
을밀대 본점,199,0.24809269834018574,0.24809269834018574,0.15355333485609868,0.1890787269681742,371,122,179,0.3185929648241206,0.0,0.022110552763819097,0.035175879396984924,1.0,0.21027695294655094,0.24809269834018574,0.34263206182427286
성수족발,205,0.24607741790729593,0.24607741790729593,0.118857905712174,0.2544390243902439,425,159,211,0.40315040650406503,0.0,0.04878048780487805,0.09634146341463415,1.0,0.19518961302924717,0.24607741790729593,0.37329693010241793
소문난성수감자탕,448,0.20044753023996967,0.20044753023996967,0.1015495179100377,0.19779602465986396,1105,437,495,0.29389322916666666,0.011160714285714286,0.03255208333333333,0.046056547619047615,1.0,0.16088832530799688,0.20044753023996967,0.29934554256990165
마포양지설렁탕 도화점,46,0.19230072463768116,0.19230072463768116,0.10353260869565217,0.17753623188405795,68,33,38,0.30434782608695654,-0.021739130434782608,0.010869565217391304,0.021739130434782608,1.0,0.15679347826086956,0.19230072463768116,0.28106884057971016
할머니의레시피,45,0.049647226230559574,0.049647226230559574,-0.005485048901715564,0.11026455026455027,106,41,59,0.3163333333333333,0.0,-0.1111111111111111,0.0,1.0,0.027594316177649514,0.049647226230559574,0.10477950136283472
