platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,knu_sentiment_score,knu_total_polarity,knu_matched_count,knu_matched_terms,custom_sentiment_score,custom_total_polarity,custom_matched_count,custom_matched_terms,selected_match_count,raw_candidate_count,removed_overlap_count,food_score_raw,food_matched_count,food_score_norm,price_score_raw,price_matched_count,price_score_norm,service_score_raw,service_matched_count,service_score_norm,atmosphere_score_raw,atmosphere_matched_count,atmosphere_score_norm,final_score_w03,final_score_w05,final_score_w10,final_sentiment_score,final_sentiment_label,zero_reason,trust_weight_available,trust_weight,trust_level,trust_adjusted_sentiment_score,custom_matched_terms_readable,knu_matched_terms_readable
naver,각시보쌈,리더하얀,1209.0,2025.06.11,1번째 방문,영수증,3명이서 반반보쌈 먹엇어요 맛나요,18,True,,,,3명이서 반반보쌈 먹엇어요 맛나요,3명이서 반반보쌈 먹엇어요 맛나요,0,0,0,0,0,0,1,18,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,굴다리식당,cnlm****,151.0,2026.04.15,1번째 방문,영수증,노포식당에 손님들이 많아요,14,True,,,,노포식당에 손님들이 많아요,노포식당에 손님들이 많아요,0,0,0,0,0,0,0,14,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,굴다리식당,쩝쩝왕비,1777.0,2026.02.20,1번째 방문,영수증,,0,True,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,굴다리식당,소심한먹보,49.0,2026.01.24,1번째 방문,영수증,2인 가면 3종 세트 국룰인가봐여,18,True,,,,2인 가면 3종 세트 국룰인가봐여,2인 가면 3종 세트 국룰인가봐여,0,0,0,0,0,0,1,18,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,굴다리식당,세계로5,475.0,2026.01.19,1번째 방문,영수증,"김치찌개랑 제육볶음, 계란말이 3종 세트입니다. 주차는 근처 경보주차장 이용했습니다.",47,True,,,,"김치찌개랑 제육볶음, 계란말이 3종 세트입니다. 주차는 근처 경보주차장 이용했습니다.",김치찌개랑 제육볶음 계란말이 3종 세트입니다 주차는 근처 경보주차장 이용했습니다,0,0,0,0,0,0,1,47,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,굴다리식당,Kangbeen,699.0,2025.11.21,1번째 방문,영수증,만원에 한 상 가득 백반이ㅠㅠㅠ,17,True,,,,만원에 한 상 가득 백반이ㅠㅠㅠ,만원에 한 상 가득 백반이,0,0,0,1,0,0,0,17,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,굴다리식당,맛집뚜버기,121.0,2025.10.10,1번째 방문,예약,"2인이서 방문했는데 찌개랑 제육볶음 하나씩 주문하겠다니까 계란말이 꼭 하나 주문해야하는거처럼 계란말이는 주문 안하냐고 되물으시길래 둘다 먹는 양이 적어서 그냥 찌개랑 제육볶음만 주문하겠다니까 (이것도 쓰다보니까 어이없네 2명이서 2인분만 주문하는걸 왜 손님이 변명해야하는지) 계란말이는 사이드라서 양 별로 안된다고 그냥 같이 주문하라고 하시던데 찌개랑 가격이 10,000원으로 같은 계란말이가 양이 적으면 더 문제가 있는 메뉴인건데, 왜 계속 강매를 하려고 하시는건지 너무 불쾌했습니다. 백반집에서 점심으로 2명이서 찌개랑 제육볶음, 계란말이까지 32,000원이면 저렴한 한정식집까지 갈 수 있는 가격인데 그정도 돈 받고 장사하고 싶으시면 퀄리티나 좀 올리세요..",371,False,,,,"2인이서 방문했는데 찌개랑 제육볶음 하나씩 주문하겠다니까 계란말이 꼭 하나 주문해야하는거처럼 계란말이는 주문 안하냐고 되물으시길래 둘다 먹는 양이 적어서 그냥 찌개랑 제육볶음만 주문하겠다니까 (이것도 쓰다보니까 어이없네 2명이서 2인분만 주문하는걸 왜 손님이 변명해야하는지) 계란말이는 사이드라서 양 별로 안된다고 그냥 같이 주문하라고 하시던데 찌개랑 가격이 10,000원으로 같은 계란말이가 양이 적으면 더 문제가 있는 메뉴인건데, 왜 계속 강매를 하려고 하시는건지 너무 불쾌했습니다. 백반집에서 점심으로 2명이서 찌개랑 제육볶음, 계란말이까지 32,000원이면 저렴한 한정식집까지 갈 수 있는 가격인데 그정도 돈 받고 장사하고 싶으시면 퀄리티나 좀 올리세요..",2인이서 방문했는데 찌개랑 제육볶음 하나씩 주문하겠다니까 계란말이 꼭 하나 주문해야하는거처럼 계란말이는 주문 안하냐고 되물으시길래 둘다 먹는 양이 적어서 그냥 찌개랑 제육볶음만 주문하겠다니까 이것도 쓰다보니까 어이없네 2명이서 2인분만 주문하는걸 왜 손님이 변명해야하는지 계란말이는 사이드라서 양 별로 안된다고 그냥 같이 주문하라고 하시던데 찌개랑 가격이 10 000원으로 같은 계란말이가 양이 적으면 더 문제가 있는 메뉴인건데 왜 계속 강매를 하려고 하시는건지 너무 불쾌했습니다 백반집에서 점심으로 2명이서 찌개랑 제육볶음 계란말이까지 32 000원이면 저렴한 한정식집까지 갈 수 있는 가격인데 그정도 돈 받고 장사하고 싶으시면 퀄리티나 좀 올리세요,0,0,0,0,0,0,1,371,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,굴다리식당,오뚜기컵누들,2327.0,2025.09.29,1번째 방문,영수증,세가지메뉴 다시켜야해요~ 맛나요~,18,True,,,,세가지메뉴 다시켜야해요~ 맛나요~,세가지메뉴 다시켜야해요 맛나요,0,0,0,0,0,0,0,18,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,굴다리식당,geenna27,107.0,2025.09.03,2번째 방문,영수증,공덕역 노포 굴다리식당. 제육. 계란말이. 김치찌게 3종셋트를 추천합니다.,41,False,,,,공덕역 노포 굴다리식당. 제육. 계란말이. 김치찌게 3종셋트를 추천합니다.,공덕역 노포 굴다리식당 제육 계란말이 김치찌게 3종셋트를 추천합니다,0,0,0,0,0,0,1,41,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,굴다리식당,seige22,285.0,2025.01.25,1번째 방문,예약,외국 가기전에 아님 다녀와서 꼭 생각나는 맛이에요 이번에도 여행가기전에 다녀왔어요 김치찌개랑 제육 캐릭터 있는 맛이에요,66,True,,,,외국 가기전에 아님 다녀와서 꼭 생각나는 맛이에요 이번에도 여행가기전에 다녀왔어요 김치찌개랑 제육 캐릭터 있는 맛이에요,외국 가기전에 아님 다녀와서 꼭 생각나는 맛이에요 이번에도 여행가기전에 다녀왔어요 김치찌개랑 제육 캐릭터 있는 맛이에요,0,0,0,0,0,0,0,66,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
