store_name,platform,review_count,avg_food_score,avg_service_score,avg_price_score,avg_atmosphere_score,avg_wait_score,avg_revisit_score,avg_recommendation_score,avg_hygiene_score,avg_general_score,avg_total_score,avg_overall_sentiment_score,avg_sentiment_star,avg_rating,avg_diff_abs,positive_ratio,neutral_ratio,negative_ratio
마포양지설렁탕,naver,56,1.8214285714285714,0.0,-0.05357142857142857,0.10714285714285714,0.0,0.08928571428571429,0.07142857142857142,0.0,0.5178571428571429,2.5535714285714284,2.774107142857143,3.853214285714286,,,0.7857142857142857,0.07142857142857142,0.14285714285714285
마포양지설렁탕 도화점,kakao,22,0.6363636363636364,-0.22727272727272727,-0.20454545454545456,0.0,0.0,-0.22727272727272727,0.045454545454545456,0.0,-0.18181818181818182,-0.1590909090909091,-0.05454545454545461,2.9813636363636364,2.6363636363636362,0.7931818181818181,0.45454545454545453,0.045454545454545456,0.5
보끔당 성수점,kakao,13,1.3846153846153846,0.6153846153846154,0.0,0.38461538461538464,0.0,0.15384615384615385,0.15384615384615385,0.0,0.8461538461538461,3.5384615384615383,3.8576923076923078,4.246923076923077,4.076923076923077,0.7146153846153845,0.9230769230769231,0.07692307692307693,0.0
보끔당 성수점,naver,114,2.3421052631578947,0.30701754385964913,0.11842105263157894,0.16666666666666666,0.0,0.32456140350877194,0.23684210526315788,0.0,0.9298245614035088,4.425438596491228,4.784649122807018,4.352192982456141,,,0.9736842105263158,0.017543859649122806,0.008771929824561403
뼈탄집 성수역점,kakao,96,2.84375,0.3020833333333333,0.010416666666666666,0.71875,0.010416666666666666,0.3645833333333333,0.375,0.0,1.2291666666666667,5.854166666666667,6.1109374999999995,4.605625,4.927083333333333,0.3858333333333333,0.9895833333333334,0.010416666666666666,0.0
뼈탄집 성수역점,naver,165,2.6,0.4666666666666667,0.030303030303030304,0.5333333333333333,0.006060606060606061,0.2606060606060606,0.2909090909090909,0.0,1.4727272727272727,5.66060606060606,5.871818181818182,4.5852121212121215,,,0.9818181818181818,0.012121212121212121,0.006060606060606061
성수족발,kakao,26,0.8461538461538461,0.038461538461538464,-0.019230769230769232,-0.07692307692307693,0.038461538461538464,0.07692307692307693,0.11538461538461539,-0.07692307692307693,-0.3076923076923077,0.6346153846153846,0.8653846153846154,3.2492307692307696,3.0,1.04,0.5,0.19230769230769232,0.3076923076923077
성수족발,naver,108,1.462962962962963,0.046296296296296294,-0.037037037037037035,0.046296296296296294,0.027777777777777776,0.1388888888888889,0.14814814814814814,-0.12962962962962962,0.28703703703703703,1.9907407407407407,2.1351851851851853,3.564074074074074,,,0.6203703703703703,0.14814814814814814,0.23148148148148148
소문난성수감자탕,kakao,174,0.21839080459770116,-0.3275862068965517,0.017241379310344827,-0.07758620689655173,0.034482758620689655,-0.25862068965517243,0.034482758620689655,-0.1839080459770115,-0.7758620689655172,-1.3189655172413792,-1.4113505747126436,2.6563793103448274,2.3908045977011496,0.7362643678160918,0.3103448275862069,0.11494252873563218,0.5747126436781609
소문난성수감자탕,naver,153,1.5032679738562091,-0.09803921568627451,0.049019607843137254,0.016339869281045753,0.07516339869281045,-0.0915032679738562,0.0915032679738562,-0.0392156862745098,0.0915032679738562,1.5980392156862746,1.750326797385621,3.569542483660131,,,0.7189542483660131,0.0784313725490196,0.20261437908496732
옥동식,naver,143,1.8181818181818181,0.006993006993006993,0.006993006993006993,0.1853146853146853,0.013986013986013986,0.16083916083916083,0.13286713286713286,-0.04195804195804196,0.8111888111888111,3.0944055944055946,3.233741258741259,3.9318181818181817,,,0.7832167832167832,0.07692307692307693,0.13986013986013987
옥동식 서교점,kakao,97,1.1958762886597938,-0.05154639175257732,-0.010309278350515464,0.13402061855670103,0.0,0.010309278350515464,0.09278350515463918,-0.020618556701030927,0.4020618556701031,1.7525773195876289,1.7396907216494846,3.48020618556701,3.4123711340206184,0.7158762886597938,0.6082474226804123,0.09278350515463918,0.29896907216494845
원조 조박집 본관,naver,70,1.7428571428571429,0.38571428571428573,0.12857142857142856,0.014285714285714285,0.0,0.11428571428571428,0.08571428571428572,0.0,0.4142857142857143,2.8857142857142857,3.287857142857143,3.959,,,0.8142857142857143,0.04285714285714286,0.14285714285714285
원조조박집 본관,kakao,22,1.4545454545454546,0.36363636363636365,0.045454545454545456,-0.022727272727272728,0.0,0.0,0.045454545454545456,-0.09090909090909091,-0.09090909090909091,1.7045454545454546,2.146590909090909,3.7172727272727273,3.909090909090909,0.3845454545454545,0.7272727272727273,0.13636363636363635,0.13636363636363635
육산장 홍대본점,kakao,67,1.6865671641791045,-0.1044776119402985,0.05970149253731343,1.0746268656716418,0.029850746268656716,0.16417910447761194,0.13432835820895522,-0.029850746268656716,1.0149253731343284,4.029850746268656,3.9731343283582086,4.200298507462687,4.552238805970149,0.5623880597014925,0.9104477611940298,0.029850746268656716,0.05970149253731343
육산장 홍대본점,naver,109,2.0642201834862384,0.23853211009174313,0.06880733944954129,1.0275229357798166,0.013761467889908258,0.44954128440366975,0.1926605504587156,0.0,1.3302752293577982,5.385321100917431,5.652064220183487,4.6288073394495415,,,1.0,0.0,0.0
육지,kakao,91,2.032967032967033,0.25274725274725274,0.005494505494505495,0.4175824175824176,-0.01098901098901099,0.08791208791208792,0.21978021978021978,-0.04395604395604396,0.18681318681318682,3.1483516483516483,3.4576923076923074,3.998021978021978,3.934065934065934,0.5786813186813187,0.7472527472527473,0.054945054945054944,0.1978021978021978
을밀대 본점,kakao,107,1.2616822429906542,-0.06542056074766354,-0.037383177570093455,-0.004672897196261682,0.04205607476635514,0.11214953271028037,0.102803738317757,-0.037383177570093455,0.27102803738317754,1.644859813084112,1.8499999999999999,3.5579439252336447,3.8598130841121496,0.803551401869159,0.6822429906542056,0.11214953271028037,0.205607476635514
을밀대 평양냉면,naver,139,2.0215827338129495,-0.014388489208633094,-0.017985611510791366,0.05755395683453238,0.02877697841726619,0.14388489208633093,0.15827338129496402,-0.014388489208633094,0.31654676258992803,2.679856115107914,2.8924460431654677,3.8724460431654677,,,0.7985611510791367,0.05755395683453238,0.14388489208633093
이태리국시 성수,kakao,91,2.032967032967033,0.23076923076923078,0.03296703296703297,0.967032967032967,0.0,0.3516483516483517,0.2967032967032967,0.0,1.0,4.912087912087912,5.1631868131868135,4.5017582417582425,4.824175824175824,0.4334065934065934,0.978021978021978,0.0,0.02197802197802198
이태리국시 성수,naver,183,2.6666666666666665,0.22950819672131148,0.07650273224043716,0.8087431693989071,0.0273224043715847,0.4098360655737705,0.26229508196721313,0.0,1.3387978142076502,5.819672131147541,6.018306010928962,4.634426229508197,,,0.994535519125683,0.00546448087431694,0.0
일등식당,kakao,35,2.1142857142857143,0.14285714285714285,0.2,0.02857142857142857,0.05714285714285714,0.14285714285714285,0.02857142857142857,-0.05714285714285714,0.37142857142857144,3.0285714285714285,3.2714285714285714,3.975714285714286,4.0285714285714285,0.7168571428571429,0.8,0.08571428571428572,0.11428571428571428
일등식당,naver,68,2.1323529411764706,0.07352941176470588,0.2647058823529412,0.058823529411764705,0.029411764705882353,-0.029411764705882353,0.08823529411764706,0.0,0.7941176470588235,3.411764705882353,3.613970588235294,4.124264705882353,,,0.8235294117647058,0.1323529411764706,0.04411764705882353
장인닭갈비 홍대점,kakao,136,1.7720588235294117,0.022058823529411766,0.11764705882352941,0.2426470588235294,0.007352941176470588,0.1323529411764706,0.058823529411764705,-0.058823529411764705,0.8088235294117647,3.1029411764705883,3.338602941176471,4.014338235294118,4.301470588235294,0.640220588235294,0.8308823529411765,0.029411764705882353,0.13970588235294118
장인닭갈비 홍대점,naver,88,1.75,0.42045454545454547,0.20454545454545456,0.29545454545454547,0.05113636363636364,0.25,0.06818181818181818,0.0,0.4318181818181818,3.471590909090909,3.799147727272727,4.1431818181818185,,,0.8522727272727273,0.10227272727272728,0.045454545454545456
조선시대,naver,126,1.9365079365079365,0.15873015873015872,0.07142857142857142,0.9246031746031746,0.007936507936507936,0.40476190476190477,0.3412698412698413,0.0,1.2063492063492063,5.051587301587301,5.287103174603174,4.543888888888889,,,0.9920634920634921,0.007936507936507936,0.0
쭌곱창,kakao,64,1.6875,0.34375,0.0078125,0.1484375,0.0,0.28125,0.203125,-0.125,1.015625,3.5625,3.854296875,4.159375,4.375,0.5421874999999999,0.828125,0.0625,0.109375
쭌곱창,naver,116,2.4310344827586206,0.5431034482758621,0.09482758620689655,0.27586206896551724,0.0,0.5,0.3620689655172414,0.0,0.9568965517241379,5.163793103448276,5.762931034482759,4.591551724137931,,,0.9913793103448276,0.008620689655172414,0.0
태양곱창 성수,kakao,57,0.2631578947368421,0.12280701754385964,-0.03508771929824561,0.21052631578947367,0.03508771929824561,0.10526315789473684,0.03508771929824561,-0.03508771929824561,-0.17543859649122806,0.5263157894736842,0.631578947368421,3.229298245614035,3.1052631578947367,0.6843859649122807,0.5087719298245614,0.08771929824561403,0.40350877192982454
태양곱창 성수점,naver,111,2.054054054054054,0.16216216216216217,0.2072072072072072,0.14414414414414414,0.0045045045045045045,0.2972972972972973,0.18018018018018017,0.0,0.42342342342342343,3.472972972972973,3.8664414414414416,4.148468468468469,,,0.9279279279279279,0.018018018018018018,0.05405405405405406
할머니의 레시피,naver,66,1.7727272727272727,0.3181818181818182,0.030303030303030304,0.22727272727272727,0.015151515151515152,0.15151515151515152,0.13636363636363635,-0.030303030303030304,0.803030303030303,3.4242424242424243,3.696212121212121,4.005303030303031,,,0.7424242424242424,0.10606060606060606,0.15151515151515152
할머니의레시피,kakao,29,0.4482758620689655,-0.896551724137931,0.06896551724137931,-0.06896551724137931,-0.034482758620689655,-0.1724137931034483,0.0,-0.13793103448275862,-0.20689655172413793,-1.0,-1.1275862068965519,2.6293103448275863,2.5517241379310347,0.5431034482758621,0.3793103448275862,0.06896551724137931,0.5517241379310345
홍대 육지,naver,165,2.521212121212121,0.5757575757575758,0.030303030303030304,0.44242424242424244,0.012121212121212121,0.3878787878787879,0.3575757575757576,0.0,1.309090909090909,5.636363636363637,6.120909090909091,4.64969696969697,,,0.9757575757575757,0.012121212121212121,0.012121212121212121
홍대 조선시대,kakao,61,2.0327868852459017,0.3442622950819672,0.06557377049180328,1.1147540983606556,0.01639344262295082,0.3770491803278688,0.13114754098360656,0.0,1.1639344262295082,5.245901639344262,5.341803278688525,4.588524590163934,4.868852459016393,0.3740983606557377,0.9672131147540983,0.0,0.03278688524590164
황금콩밭,kakao,44,1.9090909090909092,0.022727272727272728,-0.022727272727272728,0.06818181818181818,0.0,-0.022727272727272728,-0.022727272727272728,-0.09090909090909091,0.1590909090909091,2.0,2.1863636363636365,3.6725,3.6136363636363638,0.6279545454545454,0.75,0.06818181818181818,0.18181818181818182
황금콩밭,naver,73,2.2054794520547945,-0.0136986301369863,0.03424657534246575,0.0958904109589041,0.0547945205479452,0.0958904109589041,0.1506849315068493,-0.0821917808219178,0.6986301369863014,3.23972602739726,3.4136986301369863,4.041369863013698,,,0.8767123287671232,0.0410958904109589,0.0821917808219178
훼미리손칼국수보쌈,kakao,51,1.196078431372549,-0.0784313725490196,0.13725490196078433,0.0196078431372549,0.0392156862745098,-0.4117647058823529,0.09803921568627451,-0.19607843137254902,0.17647058823529413,0.9803921568627451,0.9764705882352941,3.3043137254901964,3.392156862745098,0.7776470588235295,0.5882352941176471,0.0784313725490196,0.3333333333333333
훼미리손칼국수보쌈,naver,147,1.9523809523809523,-0.08843537414965986,0.1292517006802721,-0.04081632653061224,0.03741496598639456,-0.013605442176870748,0.1360544217687075,-0.04081632653061224,0.1360544217687075,2.207482993197279,2.5181972789115648,3.798979591836735,,,0.782312925170068,0.034013605442176874,0.1836734693877551
