candidate_term,candidate_type,ngram_size,positive_hint,review_count,avg_rating,avg_category_total_score,example_review
불친절 테이블 간격,phrase,3,True,1,4.0,-4.0,음식 잘 나오고 여자 직원분은 친절함 (다른 리뷰처럼 남자 사장은 불친절). 테이블 간격이 너무 좁아 정신없음
친절하다 다른 리뷰,phrase,3,True,1,4.0,-4.0,음식 잘 나오고 여자 직원분은 친절함 (다른 리뷰처럼 남자 사장은 불친절). 테이블 간격이 너무 좁아 정신없음
여자 직원 친절하다,phrase,3,True,1,4.0,-4.0,음식 잘 나오고 여자 직원분은 친절함 (다른 리뷰처럼 남자 사장은 불친절). 테이블 간격이 너무 좁아 정신없음
남자 사장 불친절,phrase,3,True,1,4.0,-4.0,음식 잘 나오고 여자 직원분은 친절함 (다른 리뷰처럼 남자 사장은 불친절). 테이블 간격이 너무 좁아 정신없음
좋다 보이다 기존,phrase,3,True,1,4.0,-3.0,"요즘 세상에 웨이팅 장부 없는 가게이고 차량 대로변에 다른가게 피해가게 줄 세워놓는 가게도 처음본다 가게 입구에 안내문 붙여놓지 손님끼리 기다리는법 서로 물어봄 사장이 외국인을 애정하시는지 식사 중 왔던 유럽인.일본인에게는 계란부친거 ""써뷔쓰으~~""하면서 되도 않는 영어 쓰시며 주시더라 식대지불한 음식이라도 제대로 주면 다른건 상관없는데 외국인들은 고기 상태 좋은쪽 곱게 썰어서 주고 한국인 테이블엔 고기 잔 부스레기 +비계 잔뜩 외국인들 대접해주는건 좋게 보이는데 기존 다니던 손님 음식은 개밥처럼 주고..정 떨어져서 가기 싫어짐 칼"
배추 고기 맛있다,phrase,3,True,1,4.0,-3.0,"요즘 세상에 웨이팅 장부 없는 가게이고 차량 대로변에 다른가게 피해가게 줄 세워놓는 가게도 처음본다 가게 입구에 안내문 붙여놓지 손님끼리 기다리는법 서로 물어봄 사장이 외국인을 애정하시는지 식사 중 왔던 유럽인.일본인에게는 계란부친거 ""써뷔쓰으~~""하면서 되도 않는 영어 쓰시며 주시더라 식대지불한 음식이라도 제대로 주면 다른건 상관없는데 외국인들은 고기 상태 좋은쪽 곱게 썰어서 주고 한국인 테이블엔 고기 잔 부스레기 +비계 잔뜩 외국인들 대접해주는건 좋게 보이는데 기존 다니던 손님 음식은 개밥처럼 주고..정 떨어져서 가기 싫어짐 칼"
맛있다 서빙 아줌마,phrase,3,True,1,4.0,-3.0,"요즘 세상에 웨이팅 장부 없는 가게이고 차량 대로변에 다른가게 피해가게 줄 세워놓는 가게도 처음본다 가게 입구에 안내문 붙여놓지 손님끼리 기다리는법 서로 물어봄 사장이 외국인을 애정하시는지 식사 중 왔던 유럽인.일본인에게는 계란부친거 ""써뷔쓰으~~""하면서 되도 않는 영어 쓰시며 주시더라 식대지불한 음식이라도 제대로 주면 다른건 상관없는데 외국인들은 고기 상태 좋은쪽 곱게 썰어서 주고 한국인 테이블엔 고기 잔 부스레기 +비계 잔뜩 외국인들 대접해주는건 좋게 보이는데 기존 다니던 손님 음식은 개밥처럼 주고..정 떨어져서 가기 싫어짐 칼"
대접 해주다 좋다,phrase,3,True,1,4.0,-3.0,"요즘 세상에 웨이팅 장부 없는 가게이고 차량 대로변에 다른가게 피해가게 줄 세워놓는 가게도 처음본다 가게 입구에 안내문 붙여놓지 손님끼리 기다리는법 서로 물어봄 사장이 외국인을 애정하시는지 식사 중 왔던 유럽인.일본인에게는 계란부친거 ""써뷔쓰으~~""하면서 되도 않는 영어 쓰시며 주시더라 식대지불한 음식이라도 제대로 주면 다른건 상관없는데 외국인들은 고기 상태 좋은쪽 곱게 썰어서 주고 한국인 테이블엔 고기 잔 부스레기 +비계 잔뜩 외국인들 대접해주는건 좋게 보이는데 기존 다니던 손님 음식은 개밥처럼 주고..정 떨어져서 가기 싫어짐 칼"
좋다 썰다 주다,phrase,3,True,1,4.0,-3.0,"요즘 세상에 웨이팅 장부 없는 가게이고 차량 대로변에 다른가게 피해가게 줄 세워놓는 가게도 처음본다 가게 입구에 안내문 붙여놓지 손님끼리 기다리는법 서로 물어봄 사장이 외국인을 애정하시는지 식사 중 왔던 유럽인.일본인에게는 계란부친거 ""써뷔쓰으~~""하면서 되도 않는 영어 쓰시며 주시더라 식대지불한 음식이라도 제대로 주면 다른건 상관없는데 외국인들은 고기 상태 좋은쪽 곱게 썰어서 주고 한국인 테이블엔 고기 잔 부스레기 +비계 잔뜩 외국인들 대접해주는건 좋게 보이는데 기존 다니던 손님 음식은 개밥처럼 주고..정 떨어져서 가기 싫어짐 칼"
상태 좋다 썰다,phrase,3,True,1,4.0,-3.0,"요즘 세상에 웨이팅 장부 없는 가게이고 차량 대로변에 다른가게 피해가게 줄 세워놓는 가게도 처음본다 가게 입구에 안내문 붙여놓지 손님끼리 기다리는법 서로 물어봄 사장이 외국인을 애정하시는지 식사 중 왔던 유럽인.일본인에게는 계란부친거 ""써뷔쓰으~~""하면서 되도 않는 영어 쓰시며 주시더라 식대지불한 음식이라도 제대로 주면 다른건 상관없는데 외국인들은 고기 상태 좋은쪽 곱게 썰어서 주고 한국인 테이블엔 고기 잔 부스레기 +비계 잔뜩 외국인들 대접해주는건 좋게 보이는데 기존 다니던 손님 음식은 개밥처럼 주고..정 떨어져서 가기 싫어짐 칼"
고기 상태 좋다,phrase,3,True,1,4.0,-3.0,"요즘 세상에 웨이팅 장부 없는 가게이고 차량 대로변에 다른가게 피해가게 줄 세워놓는 가게도 처음본다 가게 입구에 안내문 붙여놓지 손님끼리 기다리는법 서로 물어봄 사장이 외국인을 애정하시는지 식사 중 왔던 유럽인.일본인에게는 계란부친거 ""써뷔쓰으~~""하면서 되도 않는 영어 쓰시며 주시더라 식대지불한 음식이라도 제대로 주면 다른건 상관없는데 외국인들은 고기 상태 좋은쪽 곱게 썰어서 주고 한국인 테이블엔 고기 잔 부스레기 +비계 잔뜩 외국인들 대접해주는건 좋게 보이는데 기존 다니던 손님 음식은 개밥처럼 주고..정 떨어져서 가기 싫어짐 칼"
해주다 좋다 보이다,phrase,3,True,1,4.0,-3.0,"요즘 세상에 웨이팅 장부 없는 가게이고 차량 대로변에 다른가게 피해가게 줄 세워놓는 가게도 처음본다 가게 입구에 안내문 붙여놓지 손님끼리 기다리는법 서로 물어봄 사장이 외국인을 애정하시는지 식사 중 왔던 유럽인.일본인에게는 계란부친거 ""써뷔쓰으~~""하면서 되도 않는 영어 쓰시며 주시더라 식대지불한 음식이라도 제대로 주면 다른건 상관없는데 외국인들은 고기 상태 좋은쪽 곱게 썰어서 주고 한국인 테이블엔 고기 잔 부스레기 +비계 잔뜩 외국인들 대접해주는건 좋게 보이는데 기존 다니던 손님 음식은 개밥처럼 주고..정 떨어져서 가기 싫어짐 칼"
고기 맛있다 서빙,phrase,3,True,1,4.0,-3.0,"요즘 세상에 웨이팅 장부 없는 가게이고 차량 대로변에 다른가게 피해가게 줄 세워놓는 가게도 처음본다 가게 입구에 안내문 붙여놓지 손님끼리 기다리는법 서로 물어봄 사장이 외국인을 애정하시는지 식사 중 왔던 유럽인.일본인에게는 계란부친거 ""써뷔쓰으~~""하면서 되도 않는 영어 쓰시며 주시더라 식대지불한 음식이라도 제대로 주면 다른건 상관없는데 외국인들은 고기 상태 좋은쪽 곱게 썰어서 주고 한국인 테이블엔 고기 잔 부스레기 +비계 잔뜩 외국인들 대접해주는건 좋게 보이는데 기존 다니던 손님 음식은 개밥처럼 주고..정 떨어져서 가기 싫어짐 칼"
두다 좋다,phrase,2,True,1,5.0,1.5,"지나다니면서 보니 웨이팅까지 하면서?... 오늘 처음 오픈런을 해봤.... 칼국수용 김치와 숙육용 김치가 다른데 둘다 좋았다. 오랜시간동안 자연스레 쌓아온 김치내공~ 요즘 또 배추가 제일 맛있을때라 그런지 적지도 과히지도 않은 맵기에 짠기가 생배추와 맞물려 조합이 좋았다. 생배추를 내놓는 집은 무.김치에 자신이 있다는 뜻으로도 해석할 수 있겠다.... 외국인들도 찾는곳이라 그런걸 수 있겠지만 식사중 밑바닥에 깔린 머리카락의 출현에 사장님이 군말없이 수육을 새 음식으로 내어주시면서 ""죄송합니다 ""라고 하시는데~ 웨이팅도 길고 또 그안"
조합 좋다,phrase,2,True,1,5.0,1.5,"지나다니면서 보니 웨이팅까지 하면서?... 오늘 처음 오픈런을 해봤.... 칼국수용 김치와 숙육용 김치가 다른데 둘다 좋았다. 오랜시간동안 자연스레 쌓아온 김치내공~ 요즘 또 배추가 제일 맛있을때라 그런지 적지도 과히지도 않은 맵기에 짠기가 생배추와 맞물려 조합이 좋았다. 생배추를 내놓는 집은 무.김치에 자신이 있다는 뜻으로도 해석할 수 있겠다.... 외국인들도 찾는곳이라 그런걸 수 있겠지만 식사중 밑바닥에 깔린 머리카락의 출현에 사장님이 군말없이 수육을 새 음식으로 내어주시면서 ""죄송합니다 ""라고 하시는데~ 웨이팅도 길고 또 그안"
좋다 배추,phrase,2,True,1,5.0,1.5,"지나다니면서 보니 웨이팅까지 하면서?... 오늘 처음 오픈런을 해봤.... 칼국수용 김치와 숙육용 김치가 다른데 둘다 좋았다. 오랜시간동안 자연스레 쌓아온 김치내공~ 요즘 또 배추가 제일 맛있을때라 그런지 적지도 과히지도 않은 맵기에 짠기가 생배추와 맞물려 조합이 좋았다. 생배추를 내놓는 집은 무.김치에 자신이 있다는 뜻으로도 해석할 수 있겠다.... 외국인들도 찾는곳이라 그런걸 수 있겠지만 식사중 밑바닥에 깔린 머리카락의 출현에 사장님이 군말없이 수육을 새 음식으로 내어주시면서 ""죄송합니다 ""라고 하시는데~ 웨이팅도 길고 또 그안"
담기다 친절하다,phrase,2,True,1,5.0,1.5,"지나다니면서 보니 웨이팅까지 하면서?... 오늘 처음 오픈런을 해봤.... 칼국수용 김치와 숙육용 김치가 다른데 둘다 좋았다. 오랜시간동안 자연스레 쌓아온 김치내공~ 요즘 또 배추가 제일 맛있을때라 그런지 적지도 과히지도 않은 맵기에 짠기가 생배추와 맞물려 조합이 좋았다. 생배추를 내놓는 집은 무.김치에 자신이 있다는 뜻으로도 해석할 수 있겠다.... 외국인들도 찾는곳이라 그런걸 수 있겠지만 식사중 밑바닥에 깔린 머리카락의 출현에 사장님이 군말없이 수육을 새 음식으로 내어주시면서 ""죄송합니다 ""라고 하시는데~ 웨이팅도 길고 또 그안"
맛있다 그렇다,phrase,2,True,1,5.0,1.5,"지나다니면서 보니 웨이팅까지 하면서?... 오늘 처음 오픈런을 해봤.... 칼국수용 김치와 숙육용 김치가 다른데 둘다 좋았다. 오랜시간동안 자연스레 쌓아온 김치내공~ 요즘 또 배추가 제일 맛있을때라 그런지 적지도 과히지도 않은 맵기에 짠기가 생배추와 맞물려 조합이 좋았다. 생배추를 내놓는 집은 무.김치에 자신이 있다는 뜻으로도 해석할 수 있겠다.... 외국인들도 찾는곳이라 그런걸 수 있겠지만 식사중 밑바닥에 깔린 머리카락의 출현에 사장님이 군말없이 수육을 새 음식으로 내어주시면서 ""죄송합니다 ""라고 하시는데~ 웨이팅도 길고 또 그안"
좋다 시간,phrase,2,True,1,5.0,1.5,"지나다니면서 보니 웨이팅까지 하면서?... 오늘 처음 오픈런을 해봤.... 칼국수용 김치와 숙육용 김치가 다른데 둘다 좋았다. 오랜시간동안 자연스레 쌓아온 김치내공~ 요즘 또 배추가 제일 맛있을때라 그런지 적지도 과히지도 않은 맵기에 짠기가 생배추와 맞물려 조합이 좋았다. 생배추를 내놓는 집은 무.김치에 자신이 있다는 뜻으로도 해석할 수 있겠다.... 외국인들도 찾는곳이라 그런걸 수 있겠지만 식사중 밑바닥에 깔린 머리카락의 출현에 사장님이 군말없이 수육을 새 음식으로 내어주시면서 ""죄송합니다 ""라고 하시는데~ 웨이팅도 길고 또 그안"
친절하다 대부분,phrase,2,True,1,5.0,1.5,"지나다니면서 보니 웨이팅까지 하면서?... 오늘 처음 오픈런을 해봤.... 칼국수용 김치와 숙육용 김치가 다른데 둘다 좋았다. 오랜시간동안 자연스레 쌓아온 김치내공~ 요즘 또 배추가 제일 맛있을때라 그런지 적지도 과히지도 않은 맵기에 짠기가 생배추와 맞물려 조합이 좋았다. 생배추를 내놓는 집은 무.김치에 자신이 있다는 뜻으로도 해석할 수 있겠다.... 외국인들도 찾는곳이라 그런걸 수 있겠지만 식사중 밑바닥에 깔린 머리카락의 출현에 사장님이 군말없이 수육을 새 음식으로 내어주시면서 ""죄송합니다 ""라고 하시는데~ 웨이팅도 길고 또 그안"
맛있다 김치,phrase,2,True,1,4.0,-3.0,항정살 보쌈이 부들부들 맛있었습니다. 김치도 달지도 않고 보쌈과의 조합도 잘 맞네요 문래점에서 먹고 실망했는데 본점은 다르네요 다만 규모에 비해 에어컨이 부족하여 땀흘리며 먹었네요... ㅠㅠ
